district,date,innov_full,innov_unc,innov_sent
Atlanta,1970-10-01,2.7897444527408903,-0.18333435603190434,2.722834124434633
Atlanta,1971-01-01,-2.292314519013093,-0.18333435603190434,-2.395614303354013
Atlanta,1971-04-01,1.889197473798039,-0.18333435603190434,1.9536749032132357
Atlanta,1971-07-01,0.4837170003605851,-0.18333435603190434,0.4610914471669253
Atlanta,1971-10-01,0.6257838291539404,2.607023673487091,0.15922145558458453
Atlanta,1972-01-01,-2.3625778264424837,-0.8694303622675064,-2.1257962344517476
Atlanta,1972-04-01,1.8750465829567013,1.5120051847875755,1.5071620439796203
Atlanta,1972-07-01,-1.4734492232209289,-0.8472982330340997,-1.2465599203025133
Atlanta,1972-10-01,2.783516484659262,1.634436312815937,2.852556914150552
Atlanta,1973-01-01,0.5502084015004992,0.9908083240784902,0.19938317893691782
Atlanta,1973-04-01,-1.1597942153849805,-1.6457386328824977,-1.0057420174039005
Atlanta,1973-07-01,-1.058946448800733,-0.8533389822720324,-1.0296509812089358
Atlanta,1973-10-01,0.910261100602487,-0.18333435603190434,0.9756479715255563
Atlanta,1974-01-01,3.167590720310317,-0.18333435603190434,3.2025481167339125
Atlanta,1974-04-01,-2.1916561419170733,-0.18333435603190434,-2.273528888307679
Atlanta,1974-07-01,-0.6229321151236669,-0.18333435603190434,-0.5688491082853134
Atlanta,1974-10-01,3.425327425112559,-0.18333435603190434,3.4999487951023682
Atlanta,1975-01-01,1.0767125026097986,1.2599542799261962,1.0229336920194305
Atlanta,1975-04-01,0.41182885537178116,-0.5382116006365261,0.38544177544278485
Atlanta,1975-07-01,-1.0074861468853893,-0.7031655315630382,-1.02179552114192
Atlanta,1975-10-01,1.2546463035357314,-0.18333435603190434,1.3045046654140804
Atlanta,1976-01-01,-0.7195672113554514,-0.18333435603190434,-0.7322170201426078
Atlanta,1976-04-01,-0.12297007700537335,-0.18333435603190434,-0.08786232643189829
Atlanta,1976-07-01,-0.04416389567182958,-0.18333435603190434,-0.013760546922153364
Atlanta,1976-10-01,-0.8184458310402363,-0.18333435603190434,-0.7959551735895771
Atlanta,1977-01-01,-0.34791786206862013,-0.18333435603190434,-0.30076708889840403
Atlanta,1977-04-01,-0.8185520954732303,-0.18333435603190434,-0.7817592258487971
Atlanta,1977-07-01,-0.19028133283597776,-0.18333435603190434,-0.13659653901804444
Atlanta,1977-10-01,0.497024860840749,-0.18333435603190434,0.5420234003985817
Atlanta,1978-01-01,0.12384597218085956,-0.18333435603190434,0.143221673404409
Atlanta,1978-04-01,-0.7586861040340048,-0.18333435603190434,-0.7431503151132095
Atlanta,1978-07-01,-0.4954356675703331,-0.18333435603190434,-0.4537301734905185
Atlanta,1978-10-01,-0.5095766937378954,-0.18333435603190434,-0.46810070330236586
Atlanta,1979-01-01,-0.00019241103834726584,-0.18333435603190434,0.046723624393878456
Atlanta,1979-04-01,0.17403328851780595,-0.18333435603190434,0.2088263707993943
Atlanta,1979-07-01,0.22429550180406774,-0.18333435603190434,0.25066841705105697
Atlanta,1979-10-01,0.35966557858624293,-0.18333435603190434,0.3823404400054666
Atlanta,1980-01-01,-0.10966265255666552,-0.18333435603190434,-0.09636500704988017
Atlanta,1980-04-01,1.3993758555821192,-0.18333435603190434,1.4351110060624075
Atlanta,1980-07-01,1.4906555402520458,-0.18333435603190434,1.488017152200883
Atlanta,1980-10-01,-1.2001847211688594,-0.18333435603190434,-1.237280386674155
Atlanta,1981-01-01,-0.9385383120114189,-0.18333435603190434,-0.9048420755071754
Atlanta,1981-04-01,-0.7775283682326769,-0.18333435603190434,-0.7301032200185089
Atlanta,1981-07-01,-0.21247223752377808,-0.18333435603190434,-0.15816795676282244
Atlanta,1981-10-01,4.292674214260867,-0.18333435603190434,4.36772635904254
Atlanta,1982-01-01,2.0952372524699165,-0.18333435603190434,2.02439807887076
Atlanta,1982-04-01,2.7253790329881653,-0.18333435603190434,2.680675650388416
Atlanta,1982-07-01,0.08045863573726543,1.6104672343731636,-0.0021752498312638826
Atlanta,1982-10-01,1.0528524558202523,-0.6243960743262199,1.0454810439210642
Atlanta,1983-01-01,-1.3487639204662394,-0.8294102456205992,-1.3818856518864917
Atlanta,1983-04-01,-1.5350672713432212,-0.18333435603190434,-1.501768114803341
Atlanta,1983-07-01,0.8346971397698008,1.0477059511088285,0.9122046997113678
Atlanta,1983-10-01,-1.0150316949134872,-0.4860237705476111,-1.0061326269701247
Atlanta,1984-01-01,-0.2151216884830255,-0.6267197704555184,-0.16308280981649384
Atlanta,1984-04-01,1.3256961418720334,-0.18333435603190434,1.3761588111131262
Atlanta,1984-07-01,-0.7466393426469848,-0.18333435603190434,-0.7575486512472471
Atlanta,1984-10-01,0.39232756043564454,-0.18333435603190434,0.4335732215240279
Atlanta,1985-01-01,0.8163848759614402,-0.18333435603190434,0.8399625427674264
Atlanta,1985-04-01,-1.00058151307621,-0.18333435603190434,-1.0073318756125809
Atlanta,1985-07-01,0.978242780247076,-0.18333435603190434,1.0314661448407232
Atlanta,1985-10-01,1.5689123117091759,-0.18333435603190434,1.5841956211898307
Atlanta,1986-01-01,0.18106671436920646,-0.18333435603190434,0.15848962400748778
Atlanta,1986-04-01,2.1295698345147405,-0.18333435603190434,2.150491290133748
Atlanta,1986-07-01,1.055302360619639,-0.18333435603190434,1.0207246221041997
Atlanta,1986-10-01,0.18616000870462254,-0.18333435603190434,0.1615559741091338
Atlanta,1987-01-01,-0.08451031880856924,-0.18333435603190434,-0.08410579374294232
