beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_counties,n_districts,n_states,spec,h
-0.004168947773655185,0.013056990296184186,-0.025645785619403918,0.01730789007209355,-1.7169986421752195,0.086,133135,1009,11,14,border_all,0
0.008929095465750993,0.01203470366914388,-0.010866230513726505,0.028724421445228493,2.531651161741486,0.159,132126,1009,11,14,border_all,1
0.010169126620070242,0.009921073857815859,-0.006149587698211605,0.02648784093835209,4.752657479402331,0.004,131117,1009,11,14,border_all,2
0.012083179194461821,0.007577855778759117,-0.000381284367745283,0.024547642756668923,2.328465503941699,0.184,130108,1009,11,14,border_all,3
0.006380186761031494,0.01921350452904699,-0.02522321585001998,0.037983589372082974,0.8051682669636678,0.709,129099,1009,11,14,border_all,4
0.01046372938280287,0.01384821298010091,-0.012314553964312563,0.03324201272991831,1.4605955338008376,0.366,128090,1009,11,14,border_all,5
0.011742719838883085,0.011782703476868384,-0.007638102710337593,0.03112354238810376,1.35638863496272,0.413,127081,1009,11,14,border_all,6
0.009370778958067361,0.01092376373480141,-0.008597213441081695,0.027338771357216417,0.9417837196871075,0.533,126072,1009,11,14,border_all,7
0.0005489738306690014,0.018015696482365864,-0.029084209870407367,0.030182157531745368,0.05890365198225232,0.963,125063,1009,11,14,border_all,8
0.005198979606010128,0.012929548987197422,-0.016068235940428284,0.026466195152448538,0.5969603054119662,0.679,124054,1009,11,14,border_all,9
0.005939323932750869,0.013976777589685949,-0.017050429378738116,0.028929077244239855,0.5924607343210448,0.707,123045,1009,11,14,border_all,10
-0.003480794903366312,0.009456964946383659,-0.019036117995378406,0.01207452818864578,-0.3609289391360379,0.818,122036,1009,11,14,border_all,11
-0.01345142993820287,0.013987059533684171,-0.036458095542569444,0.009555235666163703,-1.6801676890426736,0.265,121027,1009,11,14,border_all,12
0.004940518933927203,0.01130704928796676,-0.013657922097503982,0.02353895996535839,0.772692666381045,0.84,133135,1009,11,14,border_all_leads,-4
-0.008996220643075658,0.01349340856285906,-0.03119090265763243,0.013198461371481115,-1.2337279052539991,0.41,134144,1009,11,14,border_all_leads,-3
-0.0010830467107354478,0.0084023790812059,-0.01490373041747815,0.012737636996007252,-0.23926739284824478,0.899,135153,1009,11,14,border_all_leads,-2
0.0018105699036652502,0.011386332667845526,-0.016918280682716492,0.020539420490046995,0.3492904129570281,0.88,23616,179,11,14,border_only,0
0.009527662818675698,0.009639249497127593,-0.006327491677764778,0.02538281731511617,1.6678695233110377,0.338,23437,179,11,14,border_only,1
0.005739273788520762,0.007235697569540401,-0.006162389602261717,0.01764093717930324,1.00996744094568,0.699,23258,179,11,14,border_only,2
0.011064021837874022,0.005958523020761585,0.0012631236359004882,0.020864920039847558,3.172236810004506,0.051,23079,179,11,14,border_only,3
-0.0013720348268366934,0.013248572301819323,-0.02316399702941302,0.02041992737573963,-0.2441688599540823,0.864,22900,179,11,14,border_only,4
0.004201595244366162,0.013833002836747188,-0.01855166964328745,0.026954860132019774,0.700859443286744,0.558,22721,179,11,14,border_only,5
-0.003449239843557254,0.01587343843584768,-0.029558722626952215,0.022660242939837705,-0.3712715078201989,0.73,22542,179,11,14,border_only,6
-0.008601559365218036,0.016687050782480135,-0.036049315367903886,0.01884619663746781,-1.636012432208942,0.143,22363,179,11,14,border_only,7
-0.013683793520973644,0.018151705035552818,-0.043540691384055995,0.016173104342108703,-2.1570119497274733,0.16,22184,179,11,14,border_only,8
-0.007644340917398199,0.013855376872589076,-0.030434407819055882,0.015145725984259485,-0.9114166423498483,0.613,22005,179,11,14,border_only,9
-0.0008124853817326502,0.013126671641561454,-0.022403938841156042,0.02077896807769074,-0.09658818659594191,0.944,21826,179,11,14,border_only,10
-0.004720277586362797,0.010860767244822832,-0.02258464998048538,0.013144094807759785,-0.7351142068159336,0.602,21647,179,11,14,border_only,11
-0.011805252409439805,0.013441924511194477,-0.033915250694885934,0.010304745876006322,-3.4055466996992183,0.004,21468,179,11,14,border_only,12
0.0029327809245329782,0.010125610090516936,-0.013722365557950228,0.019587927407016183,0.5627819511701857,0.832,23616,179,11,14,border_only_leads,-4
-0.01245191605133631,0.00956554228470919,-0.028185832972097893,0.0032820008694252716,-2.422301384681697,0.175,23795,179,11,14,border_only_leads,-3
-0.006426324412384254,0.007642574385861309,-0.018997240610214648,0.006144591785446138,-1.38721338089242,0.417,23974,179,11,14,border_only_leads,-2
