beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,spec,h
0.010499556376738257,0.0071008988172521,-0.0011803827974342773,0.02217949555091079,0.5187989270411596,0.673,6732,51,12,urate_own,0
0.003302947756053906,0.018519761189495734,-0.027159348606763258,0.03376524411887107,0.3016717837060621,0.738,6681,51,12,urate_own,1
0.01731771128679504,0.014515468289427274,-0.006558109375968492,0.04119353194955857,2.4281494971310393,0.166,6630,51,12,urate_own,2
0.023138952487961106,0.015514775412424625,-0.002380582120503058,0.04865848709642527,3.013366760002149,0.137,6579,51,12,urate_own,3
0.0239139809868957,0.015491464777475391,-0.0015672110391256773,0.04939517301291707,4.218796280370386,0.092,6528,51,12,urate_own,4
0.02960652149366798,0.0165387855701273,0.002402640063271424,0.05681040292406454,3.9949069404760276,0.139,6477,51,12,urate_own,5
0.0215571201733835,0.015267018239094534,-0.0035548901499254174,0.04666913049669242,3.236440656196171,0.159,6426,51,12,urate_own,6
0.0191746348449044,0.014474220975460245,-0.004633340023878458,0.04298260971368725,2.2015411294247986,0.184,6375,51,12,urate_own,7
0.02583360939386792,0.013307200629367506,0.003945212174081867,0.04772200661365397,3.352899460915141,0.17,6324,51,12,urate_own,8
0.04152442477850449,0.019265748267865725,0.009835088864171511,0.07321376069283747,4.614577173773452,0.158,6273,51,12,urate_own,9
0.029199497335666378,0.01218167891459649,0.009162418590634071,0.04923657608069869,5.3716655426195725,0.102,6222,51,12,urate_own,10
0.02791478356102549,0.011096936449670145,0.009661947393735559,0.046167619728315415,5.752920931830578,0.087,6171,51,12,urate_own,11
0.02594555440727133,0.011880896861661782,0.006403218112930587,0.04548789070161208,5.79183780879224,0.082,6120,51,12,urate_own,12
-0.0006493788692186241,0.013653475402869944,-0.02310734740612196,0.021808589667684713,-0.02145528624501807,0.976,6732,51,12,urate_loo_alone,0
-0.001153502777713623,0.02078255473396789,-0.035337763309198196,0.03303075775377095,-0.09228523181041844,0.976,6681,51,12,urate_loo_alone,1
0.000456647464853776,0.02192525309733527,-0.03560718461412714,0.036520479543834694,0.04698214361204864,0.954,6630,51,12,urate_loo_alone,2
0.008983316078524461,0.020992939437089013,-0.02554699649494399,0.04351362865199292,0.7512501556113121,0.489,6579,51,12,urate_loo_alone,3
0.013244481898608877,0.01952450091605945,-0.01887046424758885,0.0453594280448066,0.9104736300320663,0.413,6528,51,12,urate_loo_alone,4
0.012307128982079349,0.01702566631588191,-0.015697600008864516,0.04031185797302321,0.9726287890259079,0.414,6477,51,12,urate_loo_alone,5
0.007999354407912107,0.01574389658247033,-0.0178970509881131,0.03389575980393732,0.6150943082452189,0.535,6426,51,12,urate_loo_alone,6
0.008093823257145062,0.01449580398665935,-0.015749652505889177,0.031937299020179305,0.6684532441722324,0.497,6375,51,12,urate_loo_alone,7
0.024997997040871925,0.014464522809863429,0.0012059742349457662,0.04879001984679808,1.6570521056908616,0.291,6324,51,12,urate_loo_alone,8
0.032441437020562604,0.015296942682363323,0.007280205368208514,0.05760266867291669,2.3909109303343263,0.111,6273,51,12,urate_loo_alone,9
0.033733668151806485,0.016483579754380463,0.006620592207669928,0.06084674409594304,1.9344316423355385,0.079,6222,51,12,urate_loo_alone,10
0.034096091388092005,0.017724582752872167,0.004941747160828715,0.06325043561535529,2.186061062366067,0.006,6171,51,12,urate_loo_alone,11
0.03538062918288414,0.01832846182836451,0.0052329922680571725,0.06552826609771112,2.31228788268702,0.008,6120,51,12,urate_loo_alone,12
0.012648986054143456,0.005123679089363816,0.004221283920667968,0.021076688187618944,0.8644057686169904,0.326,6732,51,12,urate_hr_own,0
0.005228917171917123,0.010683065855965276,-0.012343162448228792,0.022800996792063037,0.5140655684170454,0.714,6681,51,12,urate_hr_own,1
0.020094434595794738,0.010292633758619897,0.003164558627045639,0.03702431056454383,2.2230455137064324,0.153,6630,51,12,urate_hr_own,2
0.0214715362577485,0.011380000006907327,0.0027531019716792067,0.04018997054381779,1.524198738014562,0.308,6579,51,12,urate_hr_own,3
0.02013983919072334,0.011028148077170738,0.0020001498274311476,0.038279528554015535,1.6584160423602563,0.23,6528,51,12,urate_hr_own,4
0.027459952483514634,0.017344497324413455,-0.0010692068481969394,0.05598911181522621,4.764023300950567,0.055,6477,51,12,urate_hr_own,5
0.0182828689331155,0.014352682140764728,-0.00532519234260298,0.04189093020883398,2.104580394060553,0.115,6426,51,12,urate_hr_own,6
0.011213162945974027,0.012496832096565722,-0.009342296653465667,0.031768622545413724,0.9618617552056653,0.406,6375,51,12,urate_hr_own,7
0.010911886353002638,0.010528034087983858,-0.006405188701286342,0.02822896140729162,0.7164444610894819,0.517,6324,51,12,urate_hr_own,8
0.02449650185573095,0.01770715026423018,-0.004629168479362778,0.05362217219082467,2.2903563967997,0.128,6273,51,12,urate_hr_own,9
0.008583829373998866,0.010408176002876322,-0.008536096674281528,0.025703755422279262,0.6074687564566094,0.618,6222,51,12,urate_hr_own,10
0.006581232208852837,0.012410288316815184,-0.013831875540574096,0.02699433995827977,0.4911162047471602,0.692,6171,51,12,urate_hr_own,11
0.004161308075265547,0.011915965039331832,-0.015438710238306355,0.023761326388837448,0.4059323161937685,0.683,6120,51,12,urate_hr_own,12
-0.0045323574361122556,0.013936616056366436,-0.027456050903856707,0.018391336031632198,-0.17683530930733962,0.877,6732,51,12,urate_hr_loo,0
-0.002548108503790456,0.017265907127570784,-0.03094799846518253,0.02585178145760162,-0.26046353372753,0.834,6681,51,12,urate_hr_loo,1
-0.006779063690656152,0.02162704831910548,-0.04235239255859154,0.028794265177279232,-0.7990541946734265,0.462,6630,51,12,urate_hr_loo,2
0.001821801743231712,0.020125784247136798,-0.03128216747091405,0.03492577095737747,0.12389086888766739,0.912,6579,51,12,urate_hr_loo,3
0.006138601593752414,0.018803820081796128,-0.02479093006833287,0.0370681332558377,0.35720127551527725,0.736,6528,51,12,urate_hr_loo,4
0.002869405151454474,0.01823330385016354,-0.027121710817795262,0.03286052112070421,0.23058294227903361,0.775,6477,51,12,urate_hr_loo,5
0.001392549046274898,0.016885726818782944,-0.026381999955311968,0.029167098047861762,0.10039289433464252,0.899,6426,51,12,urate_hr_loo,6
0.004980288575691774,0.015059034433753431,-0.01978961883105466,0.02975019598243821,0.3697168893465299,0.686,6375,51,12,urate_hr_loo,7
0.020907432337533078,0.014987510479027358,-0.003744828632868267,0.045559693307934426,1.1126195803998236,0.353,6324,51,12,urate_hr_loo,8
0.024048475922265625,0.016055868018998994,-0.002361076822639016,0.050458028667170265,1.6374039110831233,0.245,6273,51,12,urate_hr_loo,9
0.03091338447368342,0.018021078317388237,0.0012713484417508497,0.06055542050561599,1.437929137074301,0.165,6222,51,12,urate_hr_loo,10
0.03227366200558852,0.0204188671963077,-0.0013123857604986355,0.06585970977167567,1.6028376191582752,0.031,6171,51,12,urate_hr_loo,11
0.03429783335158444,0.0199716112872035,0.001447456089762808,0.06714821061340608,1.901173121150556,0.039,6120,51,12,urate_hr_loo,12
0.026083627559795715,0.029535021769039903,-0.022497160119100246,0.07466441523869168,0.8890086964180014,0.649,6732,51,12,emp_own,0
0.02783842267051008,0.042831822114998176,-0.04261365528428494,0.0982905006253051,0.8466327441889363,0.559,6681,51,12,emp_own,1
0.022625156510292264,0.039716641754867534,-0.04270290573053388,0.0879532187511184,1.115938261790276,0.485,6630,51,12,emp_own,2
0.0014419861012163332,0.04037802773294262,-0.06497395926446145,0.06785793146689412,0.05858153449907539,0.97,6579,51,12,emp_own,3
-0.02791170984676949,0.034647503153316245,-0.08490178107331428,0.029078361379775295,-1.1949089935727162,0.557,6528,51,12,emp_own,4
-0.05385126373948142,0.031728720163115384,-0.10604036417831006,-0.0016621633006527747,-2.2636259320702066,0.24,6477,51,12,emp_own,5
-0.07336105699550155,0.032213623442099874,-0.12634775235148848,-0.02037436163951461,-2.5264670725608527,0.188,6426,51,12,emp_own,6
-0.07211351823728392,0.03473080250064297,-0.12924060469740176,-0.014986431777166076,-2.882847976829297,0.168,6375,51,12,emp_own,7
-0.0747478711275329,0.03571470970745233,-0.1334933409253548,-0.016002401329710987,-2.61736439602912,0.225,6324,51,12,emp_own,8
-0.08293065411044015,0.04297638251811107,-0.15362051276860897,-0.01224079545227133,-3.5491357583114045,0.199,6273,51,12,emp_own,9
-0.08361240806056623,0.042738983288383194,-0.15391177973468168,-0.013313036386450788,-3.5785812597914353,0.178,6222,51,12,emp_own,10
-0.09804550667517252,0.041709715934151584,-0.16665188420857735,-0.02943912914176769,-3.4325371624181433,0.16,6171,51,12,emp_own,11
-0.11671392730643078,0.04129463445870965,-0.1846375565694746,-0.04879029804338697,-4.333873490486728,0.146,6120,51,12,emp_own,12
0.010201685497123166,0.011271904432468536,-0.008338947391273078,0.02874231838551941,0.4127921689082523,0.772,6732,51,12,emp_hr_own,0
0.008515927925492887,0.019214773487358165,-0.023089561936239174,0.040121417787224944,0.239134225928782,0.887,6681,51,12,emp_hr_own,1
0.0037483968273628156,0.01967819897092789,-0.02861936012184065,0.03611615377656628,0.15705401693018656,0.853,6630,51,12,emp_hr_own,2
-0.008323236689204223,0.02495016248379645,-0.049362601943705356,0.03271612856529692,-0.2813563726337345,0.761,6579,51,12,emp_hr_own,3
-0.029685452755670107,0.026123112604979737,-0.07265414927123275,0.013283243759892528,-1.0648808247708197,0.354,6528,51,12,emp_hr_own,4
-0.053753952917882174,0.03544830380839538,-0.11206122400639898,0.004553318170634639,-2.259436465993609,0.276,6477,51,12,emp_hr_own,5
-0.06701238497440343,0.03681247414026609,-0.12756351658107737,-0.006461253367729479,-2.118748813338624,0.31,6426,51,12,emp_hr_own,6
-0.05813398075333608,0.03579123792274723,-0.11700532826364993,0.0007373667569777684,-1.838129434316142,0.35,6375,51,12,emp_hr_own,7
-0.044014966291509694,0.03402627668794798,-0.09998321091333524,0.011953278330315856,-1.0652880788111687,0.428,6324,51,12,emp_hr_own,8
-0.04156335090474764,0.03752056163974632,-0.10327918280314063,0.020152480993645368,-1.264233143587581,0.404,6273,51,12,emp_hr_own,9
-0.028850398921353614,0.032609544669310916,-0.08248832674390572,0.024787528901198484,-0.668324157198882,0.485,6222,51,12,emp_hr_own,10
-0.0360928624224963,0.03389640410304832,-0.09184748565200808,0.019661760807015483,-0.6553372500564522,0.561,6171,51,12,emp_hr_own,11
-0.05584133215962849,0.03380154535552836,-0.111439926634234,-0.00024273768502298954,-1.0781870644295488,0.366,6120,51,12,emp_hr_own,12
-0.012646642258947391,0.009761728145607784,-0.02870325620456462,0.003409971686669837,-1.5923855449581716,0.353,6732,51,12,urate_hr_leads,-4
-0.008119154359465216,0.006615006124348899,-0.018999871175406705,0.0027615624564762704,-1.20697425501855,0.549,6783,51,12,urate_hr_leads,-3
-0.014931407091418264,0.011456357518010543,-0.03377543830657067,0.003912624123734139,-2.9349650339357125,0.115,6834,51,12,urate_hr_leads,-2
