date,district,value,n_docs,n_sections
1972-07-01,Cleveland,0.060010960906101564,3,1
1972-07-01,Dallas,0.12271718723331626,3,1
1972-07-01,Kansas City,0.0,3,1
1972-07-01,Minneapolis,0.05555555555555555,3,1
1972-07-01,New York,0.10806451612903226,4,2
1972-07-01,Philadelphia,0.0,2,1
1972-07-01,Richmond,0.012820512820512822,3,1
1972-07-01,San Francisco,0.054681798277623705,6,1
1972-07-01,St. Louis,0.039536565427906685,3,1
1972-10-01,Atlanta,0.09444444444444444,3,1
1972-10-01,Boston,0.017780938833570414,3,1
1972-10-01,Chicago,0.04350657502432289,3,1
1972-10-01,Cleveland,0.09094982078853046,3,1
1972-10-01,Dallas,0.07005568956788469,3,1
1972-10-01,Kansas City,0.018518518518518517,3,1
1972-10-01,Minneapolis,0.08998357963875205,3,1
1972-10-01,New York,0.09015873015873016,3,1
1972-10-01,Philadelphia,0.012820512820512822,3,1
1972-10-01,Richmond,0.012820512820512822,3,1
1972-10-01,San Francisco,0.032134237016700984,5,1
1972-10-01,St. Louis,0.04797596457938014,3,1
1973-01-01,Atlanta,0.08202614379084967,3,1
1973-01-01,Boston,0.04925925925925926,3,1
1973-01-01,Chicago,0.008130081300813009,3,1
1973-01-01,Cleveland,0.018518518518518517,2,1
1973-01-01,Dallas,0.0423076923076923,3,1
1973-01-01,Kansas City,0.0,2,1
1973-01-01,Minneapolis,0.02666666666666667,4,2
1973-01-01,New York,0.02666666666666667,3,1
1973-01-01,Philadelphia,0.023941532258064516,4,2
1973-01-01,Richmond,0.021910919540229886,3,1
1973-01-01,San Francisco,0.052314814814814814,6,1
1973-01-01,St. Louis,0.06972829065852322,3,1
1973-04-01,Atlanta,0.03333333333333333,3,1
1973-04-01,Boston,0.08963920817369093,4,2
1973-04-01,Chicago,0.006944444444444444,3,1
1973-04-01,Cleveland,0.08333333333333333,2,1
1973-04-01,Dallas,0.08687258687258688,3,1
1973-04-01,Kansas City,0.011494252873563218,3,1
1973-04-01,Minneapolis,0.009523809523809523,3,1
1973-04-01,New York,0.08064516129032258,2,1
1973-04-01,Philadelphia,0.0,4,2
1973-04-01,Richmond,0.0,3,1
1973-04-01,San Francisco,0.024952107279693485,5,1
1973-04-01,St. Louis,0.011494252873563218,3,1
1973-07-01,Atlanta,0.010416666666666666,3,2
1973-07-01,Boston,0.034022394487510765,3,1
1973-07-01,Chicago,0.0,2,1
1973-07-01,Cleveland,0.03333333333333333,2,1
1973-07-01,Dallas,0.05420168067226891,4,2
1973-07-01,Kansas City,0.0,3,1
1973-07-01,Minneapolis,0.007575757575757576,3,1
1973-07-01,New York,0.038530465949820784,3,1
1973-07-01,Philadelphia,0.025,4,2
1973-07-01,Richmond,0.015199637023593466,4,2
1973-07-01,San Francisco,0.0,4,1
1973-07-01,St. Louis,0.03842077371489137,3,1
1973-10-01,Atlanta,0.046335447498238196,3,1
1973-10-01,Boston,0.04726062467997952,3,1
1973-10-01,Chicago,0.05119047619047618,3,1
1973-10-01,Cleveland,0.044261294261294264,3,1
1973-10-01,Dallas,0.06321147987814654,3,1
1973-10-01,Kansas City,0.034210526315789476,3,1
1973-10-01,Minneapolis,0.0,3,1
1973-10-01,New York,0.034482758620689655,3,1
1973-10-01,Philadelphia,0.03015873015873016,3,1
1973-10-01,Richmond,0.011494252873563218,3,1
1973-10-01,San Francisco,0.06057353264473168,6,1
1973-10-01,St. Louis,0.02628968253968254,3,1
1974-01-01,Atlanta,0.11958797703478553,3,1
1974-01-01,Boston,0.053968253968253964,3,1
1974-01-01,Chicago,0.04212454212454212,3,1
1974-01-01,Cleveland,0.12392473118279572,3,1
1974-01-01,Dallas,0.028985507246376812,3,1
1974-01-01,Kansas City,0.0,3,1
1974-01-01,Minneapolis,0.06904761904761904,3,1
1974-01-01,New York,0.055944055944055944,3,1
1974-01-01,Philadelphia,0.061111111111111116,3,1
1974-01-01,Richmond,0.08690619967793882,3,1
1974-01-01,San Francisco,0.04093567251461988,6,1
1974-01-01,St. Louis,0.024725274725274724,3,1
1974-04-01,Atlanta,0.029093915343915346,4,1
1974-04-01,Boston,0.053728916886811626,4,1
1974-04-01,Chicago,0.04302810715854194,3,1
1974-04-01,Cleveland,0.013605442176870748,3,1
1974-04-01,Dallas,0.01598746081504702,5,1
1974-04-01,Kansas City,0.0,4,1
1974-04-01,Minneapolis,0.04597701149425287,3,1
1974-04-01,New York,0.008064516129032258,4,1
1974-04-01,Philadelphia,0.008333333333333333,4,1
1974-04-01,Richmond,0.04853240337111305,3,1
1974-04-01,San Francisco,0.0,5,1
1974-04-01,St. Louis,0.01639344262295082,3,1
1974-07-01,Atlanta,0.01803020058598152,3,1
1974-07-01,Boston,0.04388138138138138,4,1
1974-07-01,Chicago,0.010869565217391304,4,1
1974-07-01,Cleveland,0.0,4,1
1974-07-01,Dallas,0.03015252120176188,4,1
1974-07-01,Kansas City,0.0,4,1
1974-07-01,Minneapolis,0.0,4,1
1974-07-01,New York,0.013888888888888888,3,1
1974-07-01,Philadelphia,0.028308823529411765,4,1
1974-07-01,Richmond,0.012758397932816537,4,1
1974-07-01,San Francisco,0.0036231884057971015,6,1
1974-07-01,St. Louis,0.03244208494208494,4,1
1974-10-01,Atlanta,0.11061788180432248,3,1
1974-10-01,Boston,0.11681547619047619,4,2
1974-10-01,Chicago,0.046563192904656325,3,1
1974-10-01,Cleveland,0.05577376018105501,3,1
1974-10-01,Dallas,0.04869154869154869,3,1
1974-10-01,Kansas City,0.034722222222222224,3,1
1974-10-01,Minneapolis,0.05400155400155399,3,1
1974-10-01,New York,0.1269708552317248,3,1
1974-10-01,Philadelphia,0.05555555555555555,3,1
1974-10-01,Richmond,0.08517050845565664,3,1
1974-10-01,San Francisco,0.032904446862947266,5,1
1974-10-01,St. Louis,0.1192918192918193,3,1
1975-01-01,Atlanta,0.10310546481145393,3,1
