draw,beta
0,0.00919241128946919
1,0.0036804678467918213
2,0.030830680107334075
3,0.008045154355334243
4,0.03259780541437316
5,0.024645787245277034
6,0.03339386213054482
7,0.0009830736716545524
8,0.006999166861736919
9,0.01713477552174364
10,0.03662652970339338
11,0.015341070933542077
12,0.04891632142071239
13,0.02474795880762608
14,0.020271877146778233
15,0.008508179578730445
16,0.034046656310193366
17,0.0034869316029883454
18,0.009575580365326759
19,0.02989247860759029
20,0.011265390448452114
21,0.014125500923341973
22,0.013571626370438298
23,0.027613743093057183
24,0.0033521101648754134
25,0.022199062618757415
26,0.005135421974469995
27,0.04025476147277525
28,0.0196985513386528
29,0.024470649790376692
30,0.01760230733467741
31,0.01942822414701363
32,0.0038071740245569237
33,0.039663981651229266
34,-0.005005827369941373
35,0.021044785162105676
36,0.005872357160274531
37,0.008651759313285717
38,0.047388499995266786
39,0.024117857486696277
40,0.02764404340097032
41,0.028868989821094357
42,0.01877976884824749
43,0.00350347833813384
44,0.00966664593324628
45,0.015528406837437371
46,0.025196827687703125
47,0.04072268738331915
48,0.030158282793481258
49,0.004522889134338618
50,0.023565878363498823
51,0.010907343293852146
52,0.00048043624080139005
53,0.004558048512340556
54,0.028061277285554805
55,0.01581617407765127
56,0.00913231105654981
57,0.03696555498657371
58,0.03927806025864551
59,0.009127726350614
60,0.0003457918782174231
61,0.012851796670386561
62,-0.005116214111296743
63,0.010660387348140846
64,0.04943201506572247
65,0.0015272447001335782
66,0.030638846815112426
67,0.01812465305443524
68,0.025678326310528753
69,0.006954294138082382
70,0.02344086244977321
71,0.011800736483422464
72,-0.00785371611622839
73,0.019016328312835833
74,0.001673868603894204
75,-0.006226791581827826
76,0.01186757082316811
77,0.02120367201670384
78,-0.0068804803164934075
79,0.00709434067757607
80,0.049943958567682044
81,0.043570697105893307
82,0.02305649209986027
83,0.05307310876818495
84,-0.004239154731771504
85,0.014102646032941972
86,0.004831377278371912
87,0.024201244143148976
88,0.05174414685580421
89,0.025762006119135972
90,0.019999078519088845
91,0.004250785957177716
92,0.015761800259100726
93,0.005206796331367952
94,0.01195228149119041
95,0.015029867873404225
96,0.01842623172159717
97,0.0023387806652983437
98,0.01518465118492799
99,0.01126099457183564
100,0.01813956941416081
101,0.03048664581845163
102,-0.0021398823171182198
103,0.04046448482509273
104,0.006063574769808828
105,0.019932567718937016
106,0.0513292657872752
107,0.02321477526578412
108,0.027931960813636632
109,0.010427238742969133
110,0.007909917503428916
111,0.012196479801445042
112,0.01039049755904426
113,0.010840963482418933
114,0.015385200827937469
115,0.02146021530691005
116,0.0013711390211425365
117,0.026827791356169934
118,0.020937039354514648
119,0.022198717807007922
120,0.009254811140985265
121,0.04728531527711085
122,-0.021986116937734963
123,0.004214738383654641
124,0.02244468848070237
125,0.032591384160701994
126,0.017063137906925523
127,0.01461233819755472
128,0.03830960277538805
129,0.023333004351279652
130,0.03746045799239075
131,0.02396193748930401
132,0.015530908027622175
133,0.0027115836235899675
134,0.023444294852580306
135,0.036522571298083686
136,0.030347048111667056
137,0.027818074872993825
138,0.029368498522295
139,0.01969382869353541
140,0.02782080138759038
141,0.01944196817638025
142,0.03164247414495867
143,0.031706465890176797
144,0.02668155300076661
145,0.019013439096178947
146,0.02950972722341373
147,0.028766089397014315
148,-0.005962240481888375
149,0.02895877560177634
150,0.013179272686516653
151,0.012432789185883183
152,0.00691226876363467
153,0.005998469303931554
154,0.01710094647385753
155,0.00105504592237292
156,0.04495932878903094
157,0.0027516578657127352
158,0.037889698342299716
159,-0.0024732695266911145
160,0.005599155755725112
161,0.038041232038331645
162,0.003953492131246312
163,0.0031413874968018304
164,0.03491769660582953
165,0.03255301812487277
166,0.019171885531694865
167,0.021009500515463627
168,0.02812543813090755
169,0.010394897193139274
170,0.015404797500199222
171,0.04786008474685719
172,0.006556873407929957
173,0.011573194377819679
174,0.04246689653731283
175,0.005556750921563803
176,0.02555375277872097
177,0.009609073366701752
178,0.007167779052179134
179,0.05163220128857748
180,0.02382558587169968
181,0.011162386101333032
182,0.00106158121599889
183,0.02417287473398426
184,0.012070473091037464
185,0.013426373978275568
186,0.05817585695025442
187,0.0003086735919039813
188,0.012291654015970061
189,-0.010306675621165991
190,-0.008734265060031814
191,0.027067823071940104
192,0.03979675810078736
193,0.03338501081379658
194,0.03889042124414872
195,0.029078745570686872
196,0.017271024819936604
197,0.010776616895072864
198,-0.003651270656798335
199,-0.006796742196278728
