date,district,bbui_loo,bbui_loo_z,n_donors,bbui_innov_own
1976-01-01,Atlanta,0.5095722729891373,1.1677272146650075,11,-0.7195672113554515
1976-01-01,Boston,0.5256623811963352,1.2046504591778049,11,-0.8965584016346291
1976-01-01,Chicago,0.4018489104058126,0.9205258903988669,11,0.4653897770611194
1976-01-01,Cleveland,0.32683330750407164,0.7483816504380185,11,1.2905614089802702
1976-01-01,Dallas,0.4695985919276703,1.075996445617174,11,-0.2798567196793144
1976-01-01,Kansas City,0.35266379161624556,0.8076569062955936,11,1.0064260837463563
1976-01-01,Minneapolis,0.2236665369951959,0.5116366985680987,11,2.4253958845779033
1976-01-01,New York,0.3298419678923105,0.7552858615061092,11,1.2574661447096422
1976-01-01,Philadelphia,0.5160125007863854,1.1825061150063694,11,-0.7904097171251803
1976-01-01,Richmond,0.4297192759377864,0.9844822235662073,11,0.1588157562094083
1976-01-01,San Francisco,0.3545520595637084,0.811990064173218,11,0.985655136324266
1976-01-01,St. Louis,0.4457561947103991,1.0212834100745838,11,-0.0175903502893322
1976-04-01,Atlanta,-0.6420564313825166,-1.475006301598633,11,-0.1229700770053716
1976-04-01,Boston,-0.6305493127160099,-1.4486000058366735,11,-0.2495483823369455
1976-04-01,Chicago,-0.49557214114743836,-1.138857209499066,11,-1.7342972695912322
1976-04-01,Cleveland,-0.5710042676971795,-1.3119572792344834,11,-0.9045438775440786
1976-04-01,Dallas,-0.6898856972868194,-1.5847639027974956,11,0.4031518479419598
1976-04-01,Kansas City,-0.5595882203077056,-1.285759971938398,11,-1.030120398828291
1976-04-01,Minneapolis,-0.6147966142692107,-1.4124510422002865,11,-0.4228280652517363
1976-04-01,New York,-0.5942835564585289,-1.3653781052445162,11,-0.6484717011692361
1976-04-01,Philadelphia,-0.6677336217463069,-1.533929782161663,11,0.1594790169963211
1976-04-01,Richmond,-0.5648637678754047,-1.297866188395905,11,-0.9720893755836024
1976-04-01,San Francisco,-0.5811167304615314,-1.335163147738692,11,-0.7933067871362083
1976-04-01,St. Louis,-0.5741404608644018,-1.319154149862172,11,-0.8700457527046329
1976-07-01,Atlanta,-0.538928005528616,-1.238349342242696,11,-0.0441638956718313
1976-07-01,Boston,-0.4860916235073919,-1.1171015154773982,11,-0.6253640979052978
1976-07-01,Chicago,-0.4298625163893877,-0.9880681339662925,11,-1.2438842762033433
1976-07-01,Cleveland,-0.46775414534818494,-1.0750210533014144,11,-0.8270763576565734
1976-07-01,Dallas,-0.5298193503155418,-1.2174469903576635,11,-0.1443591030156481
1976-07-01,Kansas City,-0.4733094669575047,-1.0877692893907391,11,-0.7659678199540569
1976-07-01,Minneapolis,-0.5061432292442709,-1.163115521844726,11,-0.404796434799629
1976-07-01,New York,-0.6067453413227484,-1.3939751490730723,11,0.7018267980636247
