date,district,value,n_docs,n_sections
1973-01-01,Atlanta,0.007407407407407408,3,1
1973-01-01,Boston,0.0,3,1
1973-01-01,Chicago,0.0,3,1
1973-01-01,Cleveland,0.0,2,1
1973-01-01,Dallas,0.0,3,1
1973-01-01,Kansas City,0.0,2,1
1973-01-01,Minneapolis,0.008333333333333333,4,2
1973-01-01,New York,0.013333333333333334,3,1
1973-01-01,Philadelphia,0.0,4,2
1973-01-01,Richmond,0.0,3,1
1973-01-01,San Francisco,0.0,6,1
1973-01-01,St. Louis,0.0,3,1
1973-04-01,Atlanta,0.0,3,1
1973-04-01,Boston,0.009259259259259259,4,2
1973-04-01,Chicago,0.0,3,1
1973-04-01,Cleveland,0.0,2,1
1973-04-01,Dallas,0.0,3,1
1973-04-01,Kansas City,0.0,3,1
1973-04-01,Minneapolis,0.0,3,1
1973-04-01,New York,0.0,2,1
1973-04-01,Philadelphia,0.0,4,2
1973-04-01,Richmond,0.0,3,1
1973-04-01,San Francisco,0.0,5,1
1973-04-01,St. Louis,0.0,3,1
1973-07-01,Atlanta,0.0,3,2
1973-07-01,Boston,0.0,3,1
1973-07-01,Chicago,0.0,2,1
1973-07-01,Cleveland,0.0,2,1
1973-07-01,Dallas,0.0,4,2
1973-07-01,Kansas City,0.0,3,1
1973-07-01,Minneapolis,0.0,3,1
1973-07-01,New York,0.01075268817204301,3,1
1973-07-01,Philadelphia,0.0,4,2
1973-07-01,Richmond,0.0,4,2
1973-07-01,San Francisco,0.0,4,1
1973-07-01,St. Louis,0.00980392156862745,3,1
1973-10-01,Atlanta,0.0,3,1
1973-10-01,Boston,0.0,3,1
1973-10-01,Chicago,0.0,3,1
1973-10-01,Cleveland,0.0,3,1
1973-10-01,Dallas,0.0,3,1
1973-10-01,Kansas City,0.0,3,1
1973-10-01,Minneapolis,0.0,3,1
1973-10-01,New York,0.0,3,1
1973-10-01,Philadelphia,0.0,3,1
1973-10-01,Richmond,0.011494252873563218,3,1
1973-10-01,San Francisco,0.0,6,1
1973-10-01,St. Louis,0.0,3,1
1974-01-01,Atlanta,0.0,3,1
1974-01-01,Boston,0.0,3,1
1974-01-01,Chicago,0.008547008547008546,3,1
1974-01-01,Cleveland,0.0,3,1
1974-01-01,Dallas,0.0,3,1
1974-01-01,Kansas City,0.0,3,1
1974-01-01,Minneapolis,0.0,3,1
1974-01-01,New York,0.0,3,1
1974-01-01,Philadelphia,0.0,3,1
1974-01-01,Richmond,0.0,3,1
1974-01-01,San Francisco,0.0,6,1
1974-01-01,St. Louis,0.0,3,1
1974-04-01,Atlanta,0.0,4,1
1974-04-01,Boston,0.0,4,1
1974-04-01,Chicago,0.0,3,1
1974-04-01,Cleveland,0.006802721088435374,3,1
1974-04-01,Dallas,0.0,5,1
1974-04-01,Kansas City,0.0,4,1
1974-04-01,Minneapolis,0.022988505747126436,3,1
1974-04-01,New York,0.0,4,1
1974-04-01,Philadelphia,0.0,4,1
1974-04-01,Richmond,0.0,3,1
1974-04-01,San Francisco,0.0,5,1
1974-04-01,St. Louis,0.0,3,1
1974-07-01,Atlanta,0.0,3,1
1974-07-01,Boston,0.0,4,1
1974-07-01,Chicago,0.0,4,1
1974-07-01,Cleveland,0.0,4,1
1974-07-01,Dallas,0.0,4,1
