beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,model,sector,h
0.17812793324427018,0.09088122545592112,0.028641619931303874,0.3276142465572365,1.368860762905389,0.482,5940,45,12,A_own,mfg,0
0.13725755065914852,0.10586649786009769,-0.03687734231868342,0.3113924436369805,1.615588524367165,0.223,5895,45,12,A_own,mfg,1
0.11881512556880323,0.1269937449580297,-0.09007099642556214,0.3277012475631686,2.077042305747368,0.172,5850,45,12,A_own,mfg,2
0.07112302374956327,0.15278747990568067,-0.18019001672607077,0.32243606422519727,1.380442525425769,0.255,5805,45,12,A_own,mfg,3
0.07295668457104251,0.17902984075795858,-0.22152119833223013,0.36743456747431513,0.8499020533188881,0.508,5760,45,12,A_own,mfg,4
0.16313948439708606,0.16643470274310768,-0.1106212400605047,0.43690020885467684,1.5845565633365883,0.279,5715,45,12,A_own,mfg,5
0.2523610337722338,0.16031752283179357,-0.011337825121517264,0.5160598926659848,3.2840466845361984,0.114,5670,45,12,A_own,mfg,6
0.2338884378260014,0.13960622157676272,0.0042566379204724,0.4635202377315304,1.8556014894489343,0.25,5625,45,12,A_own,mfg,7
0.1916213560578163,0.14602592260688685,-0.048569912371056484,0.4318126244866891,1.274584120803486,0.291,5580,45,12,A_own,mfg,8
0.16330988579916136,0.1486896042856676,-0.08126274910009812,0.40788252069842085,0.9671455362533575,0.372,5535,45,12,A_own,mfg,9
0.16141549039034814,0.15680242127214034,-0.09650154095390451,0.4193325217346008,1.1715181549910922,0.306,5490,45,12,A_own,mfg,10
0.22028210751574231,0.16921500337593798,-0.05805180452177486,0.4986160195532595,1.5430279911137401,0.256,5445,45,12,A_own,mfg,11
0.09173653020678789,0.16009582663447663,-0.17159767089272504,0.35507073130630085,0.6759844462133631,0.483,5400,45,12,A_own,mfg,12
0.056470864640288575,0.031966728815197756,0.0038902748068364162,0.10905145447374073,1.4979545669774295,0.468,5940,45,12,A_own,mining,0
0.05979052546136133,0.037007030851752304,-0.0010806234578484702,0.12066167438057113,2.673205880019541,0.187,5895,45,12,A_own,mining,1
0.042964879126056996,0.03998393209119081,-0.02280283659391956,0.10873259484603355,2.813781684714742,0.127,5850,45,12,A_own,mining,2
0.0261380121687157,0.050433241506305154,-0.05681728804184985,0.10909331237928124,1.7839402224734133,0.249,5805,45,12,A_own,mining,3
0.018691778059517744,0.05679284933587599,-0.07472414615550638,0.11210770227454186,0.8006117844841947,0.551,5760,45,12,A_own,mining,4
