beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_counties,n_districts,n_states,spec,h
-0.003082152635517272,0.006053962298087406,-0.01304003447895381,0.006875729207919266,-0.9580154014834734,0.445,133156,1009,11,14,border_all,0
0.007923462904614067,0.007953722181810662,-0.005159245873901576,0.02100617168312971,2.308250501608899,0.221,132147,1009,11,14,border_all,1
0.006869976851585331,0.009070832990370273,-0.008050215692096279,0.02179016939526694,2.589111955729981,0.142,131138,1009,11,14,border_all,2
0.010794517582232342,0.009306836938878814,-0.004513866912128409,0.026102902076593094,2.0839122150423206,0.264,130129,1009,11,14,border_all,3
0.00916827817466139,0.01219836236877855,-0.010896242410492358,0.02923279875981514,1.340698874365979,0.569,129120,1009,11,14,border_all,4
0.01029102422673872,0.011426564093122801,-0.008504001165427776,0.029086049618905218,1.4656185670391377,0.448,128111,1009,11,14,border_all,5
0.008576466705333925,0.011567420848386705,-0.010450247431609019,0.027603180842276868,0.9114463206758889,0.561,127102,1009,11,14,border_all,6
0.006851480967438858,0.012944774371397533,-0.014440778107422836,0.028143740042300552,0.6599449339396235,0.643,126093,1009,11,14,border_all,7
0.004847385973252454,0.012331780302345696,-0.015436587583829584,0.02513135953033449,0.5459153191684223,0.725,125084,1009,11,14,border_all,8
0.004012995047529904,0.012502293112157618,-0.016551447123212958,0.02457743721827277,0.4756004943597732,0.774,124075,1009,11,14,border_all,9
0.001479208063033894,0.012593518458954666,-0.019235286450258002,0.02219370257632579,0.15515682617258267,0.933,123066,1009,11,14,border_all,10
-0.004388125839166608,0.010662575778900306,-0.02192650228173569,0.013150250603402476,-0.4326849762559876,0.797,122057,1009,11,14,border_all,11
-0.009086148644355124,0.010645859861835083,-0.026597029850111656,0.008424732561401409,-1.181389735105293,0.469,121048,1009,11,14,border_all,12
0.006661968580807594,0.013111526623847994,-0.014904573541299568,0.028228510702914756,1.6158158518195387,0.434,133156,1009,11,14,border_all_leads,-4
-0.0041124600022577566,0.010056776604373539,-0.020654385475402277,0.012429465470886766,-1.238060026238191,0.379,134165,1009,11,14,border_all_leads,-3
-0.0027255126038100764,0.005991490696627953,-0.012580637807004566,0.007129612599384414,-1.028520055692326,0.435,135174,1009,11,14,border_all_leads,-2
0.0045556064998695705,0.0069436183704351066,-0.006865629360907483,0.015976842360646625,1.1053921123479504,0.572,23616,179,11,14,border_only,0
0.00675530093371485,0.006403389524092372,-0.0037773375497715473,0.017287939417201248,2.2078162717069225,0.227,23437,179,11,14,border_only,1
0.0057663282101491995,0.006625437855766999,-0.0051315472770507315,0.016664203697349132,1.577548491028654,0.39,23258,179,11,14,border_only,2
0.010683572093292468,0.00686901182229869,-0.0006149469161880715,0.021982091102773008,2.4811675277391743,0.126,23079,179,11,14,border_only,3
0.0012073785855069672,0.009166324451318044,-0.013869883434057477,0.016284640605071413,0.2531067938484269,0.846,22900,179,11,14,border_only,4
0.00437840012523985,0.012212824955240316,-0.01570990929771063,0.024466709548190333,0.8273128613131444,0.5,22721,179,11,14,border_only,5
-0.005091463160583652,0.016699257690197093,-0.0325592977397016,0.022376371418534297,-0.6451408753554053,0.601,22542,179,11,14,border_only,6
-0.01086036113147459,0.017880966846341047,-0.040271934302077685,0.018551212039128503,-1.7170208983890618,0.162,22363,179,11,14,border_only,7
-0.0077093629138966615,0.01434101849544225,-0.03129823920030299,0.015879513372509667,-1.1702689780346243,0.449,22184,179,11,14,border_only,8
-0.007922231040129122,0.013968266596730993,-0.03089798501398719,0.015053522933728946,-1.0388420152627633,0.525,22005,179,11,14,border_only,9
-0.004661929960644451,0.013328445847375383,-0.026585272454326136,0.017261412533037233,-0.7587033806501123,0.628,21826,179,11,14,border_only,10
-0.006362316876292787,0.01094751369487085,-0.024369374483402016,0.01164474073081644,-0.8594733430300062,0.571,21647,179,11,14,border_only,11
-0.004077086049680096,0.00981771560195529,-0.020225791165934308,0.012071619066574118,-1.049411326656846,0.303,21468,179,11,14,border_only,12
0.007234615133835884,0.009892734344362065,-0.009037484832955453,0.02350671510062722,1.9408040287027324,0.155,23616,179,11,14,border_only_leads,-4
-0.004105256068340679,0.006046157402652851,-0.014050300001213711,0.005839787864532354,-1.0034307919769372,0.528,23795,179,11,14,border_only_leads,-3
-0.0025085110122777363,0.003915656718342249,-0.008949193167339883,0.003932171142784411,-0.6718927539347286,0.721,23974,179,11,14,border_only_leads,-2
