family,n_specs,median_peak,median_h12,share_peak_negative,min_peak,max_peak
recursive,44,-1.0521789459116915,-0.8933757496448322,1.0,-10.911813439494484,-0.35423902377655864
sign,22,-3.898587777607233,-3.728596774729751,1.0,-17.960382773583127,-2.031153339303777
proxy,22,-8.683165930743389,-8.467224612239926,1.0,-46.75623780391811,-1.0067063978560884
max-share,22,-1.293197074897382,-1.1759202576710686,1.0,-11.811378594413364,-0.6140227469079002
heteroskedasticity,35,-1.1939533515299052,-0.924793692003382,0.8,-15.264880780241295,3.308071194883294
non-Gaussian,22,-1.0360806071572988,-0.8902388412130539,0.8636363636363636,-8.37914912295845,3.394718910181616
local-projection,11,-0.904240918489311,-0.7630589362528158,1.0,-6.909381052296196,-0.4842191367968479
narrative-sign,29,-3.4033005951101667,-3.3605275225651763,1.0,-10.214737360592853,-1.515446652130502
