proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
epu,full,fd,nongauss,non-Gaussian,-1.0654822593972189,0.3345419142455706,-0.7025891571812111,24,857,,0.0,-1.615754740411334,-0.5152097783831037,,,,,,,,2.0,,,25.51,,
wui,full,fd,chol_first,recursive,-1.0607068361499075,0.6679332451586165,-1.0607068361499075,12,841,,0.0,-2.1593592570105247,0.037945584710709745,,,,,,,,,,,,,
wui,full,lt,chol_first,recursive,-1.0436510556734755,0.29859921772193077,-1.0427577620961626,11,841,,0.0,-1.5348030619482655,-0.5524990493986854,,,,,,,,,,,,,
epu,full,fd,chol_last,recursive,-1.0423406933597992,0.6919524190444021,-0.6677294924192793,24,857,,0.0,-2.180501139502829,0.09581975278323052,,,,,,,,,,,,,
epu,pre2020,lt,la_lp,local-projection,-1.006967670564292,0.3577813392750276,-1.006967670564292,12,786,,,-1.5954656041263764,-0.4184697370022077,,,,,,,,,,,,30.0,
vix,full,lt,proxy,proxy,-1.0067063978560884,0.9037763959629346,-0.857885297051025,8,438,,,-2.493286280708851,0.47987348499667437,,,,,,14.28,,,,,,,
wui,post1985,lt,nongauss,non-Gaussian,-1.0066789549173787,0.3966456906014749,-1.0066789549173787,12,475,,0.0,-1.659103057717886,-0.35425485211687124,,,,,,,,2.0,,,8.28,,
vix,full,lt,maxshare,max-share,-1.00282114813862,0.3642928020902814,-0.8634581489051575,8,438,,,-1.602029484929134,-0.4036128113481058,,,,,,,0.445,,,,,,
wui,post1985,fd,nongauss,non-Gaussian,-1.0010963126119101,0.38239117243557236,-1.0010963126119101,12,475,,0.0,-1.6300738195067872,-0.37211880571703315,,,,,,,,2.0,,,8.31,,
wui,full,fd,chol_last,recursive,-0.9973718321472805,0.5182733383897694,-0.9973718321472805,12,841,,0.0,-1.8498556125499404,-0.1448880517446206,,,,,,,,,,,,,
wui,full,lt,chol_last,recursive,-0.9941998909281848,0.27371395296943146,-0.9939517963652923,11,841,,0.0,-1.4444192792171788,-0.5439805026391908,,,,,,,,,,,,,
wui,pre2020,fd,maxshare,max-share,-0.9710834623216736,0.5835800052364742,-0.9587981143450297,15,786,,,-1.9309871505512475,-0.011179774092099803,,,,,,,0.806,,,,,,
vix,pre2020,fd,chol_last,recursive,-0.953868583572464,0.6364015693972385,-0.953868583572464,12,360,,0.0,-2.0006560131931206,0.09291884604819278,,,,,,,,,,,,,
wui,pre2020,fd,magmav,heteroskedasticity,-0.9347804000132309,,-0.924793692003382,15,786,,,,,,,,,,,,2.0,,4.0,,,
vix,full,lt,magmav,heteroskedasticity,-0.9292845033680774,,-0.8043957973351731,8,438,,,,,,,,,,,,3.0,,4.0,,,
wui,pre2020,fd,nongauss,non-Gaussian,-0.906760082828982,0.3288800526692477,-0.8937830284158179,15,786,,0.0,-1.4477196302939852,-0.3658005353639787,,,,,,,,2.0,,,9.41,,
wui,full,lt,la_lp,local-projection,-0.904240918489311,0.3320934907212893,-0.7630589362528158,7,841,,,-1.4504861011891987,-0.35799573578942323,,,,,,,,,,,,30.0,
wui,post1985,fd,chol_last,recursive,-0.8978013754439111,0.7246094574941806,-0.8978013754439111,12,475,,0.0,-2.089677869726553,0.2940751188387305,,,,,,,,,,,,,
wui,pre2020,fd,chol_first,recursive,-0.8891158030403483,0.5849909671461738,-0.8763715390995916,15,786,,0.0,-1.8513403170845817,0.07310871100388516,,,,,,,,,,,,,
wui,pre2020,lt,maxshare,max-share,-0.889011505555622,0.308369122474847,-0.88790147616231,13,786,,,-1.3962335750982169,-0.3817894360130272,,,,,,,0.862,,,,,,
wui,post1985,lt,chol_last,recursive,-0.8889501238457532,0.28349540619191343,-0.8889501238457532,12,475,,0.0,-1.3552585709446028,-0.42264167674690356,,,,,,,,,,,,,
vix,full,fd,chol_first,recursive,-0.8614109862682476,0.9611727361825605,-0.7639798076089296,9,438,,0.0,-2.442399447505003,0.7195774749685074,,,,,,,,,,,,,
wui,post1985,lt,magmav,heteroskedasticity,-0.8316894665353458,,-0.8316894665353458,12,475,,,,,,,,,,,,3.0,,4.0,,,
vix,full,lt,la_lp,local-projection,-0.8169330590576146,0.41757151337769305,-0.2933915261526672,2,438,,,-1.5037770773485282,-0.13008904076670103,,,,,,,,,,,,30.0,
wui,pre2020,lt,nongauss,non-Gaussian,-0.8144456451276364,0.31077166304756676,-0.8131495861098279,13,786,,0.0,-1.3256195422451675,-0.30327174801010537,,,,,,,,2.0,,,9.57,,
epu,post1985,lt,maxshare,max-share,-0.8110864967553825,0.2948566190369007,-0.7702698222390073,19,491,,,-1.296082476008877,-0.3260905175018879,,,,,,,0.399,,,,,,
wui,pre2020,fd,chol_last,recursive,-0.8109799598027585,0.5127253562211362,-0.7965218680688831,15,786,,0.0,-1.6543381216130801,0.03237820200756303,,,,,,,,,,,,,
wui,pre2020,lt,chol_first,recursive,-0.8052012540810727,0.306995888715409,-0.8038634086333242,13,786,,0.0,-1.3101645550938037,-0.30023795306834167,,,,,,,,,,,,,
wui,pre2020,fd,rigobon,heteroskedasticity,-0.8030032609357871,0.9646772529545273,-0.7860811532119613,15,786,,0.0,-2.389756139295624,0.7837496174240499,,,,,,,,2.0,1.79,,,,
epu,full,lt,la_lp,local-projection,-0.7986379360564537,0.4121620422920252,-0.6574673314925336,16,857,,,-1.4765841662122174,-0.12069170590069,,,,,,,,,,,,30.0,
wui,pre2020,lt,magmav,heteroskedasticity,-0.7927312772817906,,-0.792153587156922,13,786,,,,,,,,,,,,3.0,,4.0,,,
vix,full,fd,chol_last,recursive,-0.780518552697539,0.19996704056788187,-0.5259742200396873,2,438,,0.0,-1.1094350646463718,-0.45160204074870636,,,,,,,,,,,,,
