proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
jln,pre2020,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,pre2020,fd,magmav,heteroskedasticity,,,,-1,714,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
jln,pre2020,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
jln,pre2020,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,pre2020,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
vix,full,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
vix,full,fd,magmav,heteroskedasticity,,,,-1,438,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
vix,full,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
vix,full,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
vix,full,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
vix,post1985,lt,chol_first,recursive,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
