date,epu,wui,jln,vix,ip,emp,ffr
1910-03-01,-0.6730373155219294,,,,,,
1910-04-01,-0.5499729089131157,,,,,,
1910-05-01,-0.5964391067353243,,,,,,
1910-06-01,-0.22331629001632075,,,,,,
1910-07-01,-0.5730564546508293,,,,,,
1910-08-01,-0.9456083111845279,,,,,,
1910-09-01,-0.4197746548350014,,,,,,
1910-10-01,-0.7051414414927057,,,,,,
1910-11-01,-0.1490149441054239,,,,,,
1910-12-01,-0.6728721894866776,,,,,,
1911-01-01,-0.8774975806098599,,,,,,
1911-02-01,-0.3118225024231373,,,,,,
1911-03-01,-0.5213944251681767,,,,,,
1911-04-01,-0.14977076490092558,,,,,,
1911-05-01,-0.3624289335194619,,,,,,
1911-06-01,-0.536664421715875,,,,,,
1911-07-01,-0.7082740032053587,,,,,,
1911-08-01,-0.42972289433927485,,,,,,
1911-09-01,-0.5905326961280613,,,,,,
1911-10-01,-0.34438723605809973,,,,,,
1911-11-01,-0.4935481344283295,,,,,,
1911-12-01,-0.3797149444341312,,,,,,
1912-01-01,-0.6879272536909303,,,,,,
1912-02-01,-0.41341448325281904,,,,,,
1912-03-01,-0.6354424132570111,,,,,,
1912-04-01,-0.9890625027246982,,,,,,
1912-05-01,-1.0732010643747032,,,,,,
1912-06-01,-0.6051776302203676,,,,,,
1912-07-01,-0.7055453961594313,,,,,,
1912-08-01,-0.6854898323120442,,,,,,
1912-09-01,-0.9346521316211733,,,,,,
1912-10-01,-0.9210650781449511,,,,,,
1912-11-01,0.00964029854535054,,,,,,
1912-12-01,-0.4085784384008908,,,,,,
1913-01-01,-0.47614935451397566,,,,,,
1913-02-01,-0.29083001613670856,,,,,,
1913-03-01,-0.2628431668936837,,,,,,
1913-04-01,0.10322111593795123,,,,,,
1913-05-01,-0.2916341665035034,,,,,,
1913-06-01,-0.1249575575061527,,,,,,
1913-07-01,-0.2958254143250952,,,,,,
1913-08-01,-0.25789609827659016,,,,,,
1913-09-01,-0.21732476566405776,,,,,,
1913-10-01,-0.0541601055140114,,,,,,
1913-11-01,0.10595979164456482,,,,,,
1913-12-01,0.36508952803767525,,,,,,
1914-01-01,0.1408000425945809,,,,,,
1914-02-01,-0.3832097094338646,,,,,,
1914-03-01,-0.636910021238614,,,,,,
1914-04-01,-0.34483159961637866,,,,,,
1914-05-01,-0.5815829992662286,,,,,,
1914-06-01,0.4700157122913498,,,,,,
1914-07-01,0.3366462328435482,,,,,,
1914-08-01,1.321945230261861,,,,,,
1914-09-01,0.7277814807835195,,,,,,
1914-10-01,-0.2416748146672712,,,,,,
1914-11-01,0.2753871587413526,,,,,,
1914-12-01,-0.36955083284474805,,,,,,
1915-01-01,0.07139206577711871,,,,,,
1915-02-01,0.4095513911393085,,,,,,
1915-03-01,0.3047863054566116,,,,,,
1915-04-01,-0.4546498104753961,,,,,,
1915-05-01,0.13675109851068568,,,,,,
1915-06-01,-0.02451528347801201,,,,,,
1915-07-01,-0.0462072060601006,,,,,,
1915-08-01,0.5548166575656895,,,,,,
1915-09-01,0.030756293736195386,,,,,,
1915-10-01,-0.20429726122436306,,,,,,
1915-11-01,-0.1241252148894368,,,,,,
1915-12-01,-0.24144524920362861,,,,,,
1916-01-01,-0.378405884296132,,,,,,
1916-02-01,-0.09245994827576443,,,,,,
1916-03-01,0.09576090961361244,,,,,,
1916-04-01,-0.14197090908944293,,,,,,
1916-05-01,-0.21367051307905705,,,,,,
1916-06-01,-0.14068614798589935,,,,,,
1916-07-01,-0.47544884422784306,,,,,,
1916-08-01,-0.06799444529668393,,,,,,
1916-09-01,-0.6240378426711033,,,,,,
1916-10-01,-0.296727566322568,,,,,,
1916-11-01,-0.5060017252089176,,,,,,
1916-12-01,-0.4651081954544306,,,,,,
1917-01-01,-0.8918937516588157,,,,,,
1917-02-01,-0.11827465178677916,,,,,,
1917-03-01,-0.622081837521821,,,,,,
1917-04-01,-0.0760695111669193,,,,,,
1917-05-01,-0.667914917960089,,,,,,
1917-06-01,-0.3133207191332262,,,,,,
1917-07-01,0.4395546574957325,,,,,,
1917-08-01,0.23474601674806328,,,,,,
1917-09-01,0.07633107946566321,,,,,,
1917-10-01,-0.21328253402062006,,,,,,
1917-11-01,-0.11563263522275209,,,,,,
1917-12-01,0.19643946154585298,,,,,,
1918-01-01,0.3772162229679889,,,,,,
1918-02-01,0.5032422925554104,,,,,,
1918-03-01,-0.1316901352849106,,,,,,
1918-04-01,-0.09512612962543808,,,,,,
1918-05-01,0.34386076384714637,,,,,,
1918-06-01,0.11589017605722149,,,,,,
1918-07-01,0.6411386418476732,,,,,,
1918-08-01,-0.20197475682610755,,,,,,
1918-09-01,-0.265086464494542,,,,,,
1918-10-01,-0.28250658996955,,,,,,
1918-11-01,1.3663762161373905,,,,,,
1918-12-01,1.722148985259761,,,,,,
1919-01-01,0.989456574598071,,,,158.38944379634032,,
1919-02-01,0.6832900829438742,,,,153.86935079083426,,
1919-03-01,0.22287439455513033,,,,150.93523486117437,,
1919-04-01,-0.1872167852364989,,,,152.70558038281328,,
1919-05-01,0.057781921505722755,,,,153.28807897119452,,
1919-06-01,0.011737264944238221,,,,159.4872347754785,,
1919-07-01,0.2326624752300909,,,,165.32442493713097,,
1919-08-01,0.10730362222413328,,,,166.85932200427828,,
1919-09-01,-0.11438949125004412,,,,164.80815360263048,,
1919-10-01,-0.18069095062382828,,,,163.767545384534,,
1919-11-01,0.012748158477120328,,,,162.1840679151143,,
1919-12-01,0.3040385395896587,,,,163.767545384534,,
1920-01-01,-0.7412475244641756,,,,172.7736370792934,,
1920-02-01,-0.5206591444404746,,,,172.7736370792934,,
1920-03-01,-0.5332613486527895,,,,170.83959760669413,,
1920-04-01,-0.8308355137751049,,,,165.32442493713097,,
1920-05-01,-0.7746518501515478,,,,167.87027469357582,,
1920-06-01,-0.028161481134464192,,,,168.8692617407352,,
1920-07-01,-0.5953503488931362,,,,166.35093442218277,,
1920-08-01,-0.23069326207898783,,,,166.85932200427828,,
1920-09-01,-0.7454053443322897,,,,163.2411975993922,,
1920-10-01,-0.41658705111059813,,,,158.93984570963738,,
1920-11-01,-0.798880940977719,,,,150.33882704944034,,
1920-12-01,-0.6325955330102246,,,,144.1634456153055,,
1921-01-01,-0.7863313622985902,,,,138.26125917172652,,
1921-02-01,-0.8273807549204976,,,,136.21297341205926,,
1921-03-01,-0.47143789255693663,,,,133.4158606699362,,
1921-04-01,-0.4589679234216324,,,,133.4158606699362,,
1921-05-01,-0.44963722843943826,,,,136.21297341205926,,
1921-06-01,-0.3137785075724199,,,,135.52164055490292,,
1921-07-01,-0.3809449320235425,,,,134.8228980313098,,
