config,events,n_events,n_trad,n_narr,ess,peak,peak_h,h12,h12_lo,h12_hi,width_h12,excl_zero_h12
all4,1987-10+2001-09+2008-09+2020-03,4,1388,1042,1042.0,-2.6344236030363284,24,-2.375115601651982,-4.03775669727309,-0.46914729050358756,3.5686094067695024,True
only_1987-10,1987-10,1,1435,1150,1150.0,-2.6624666694860966,24,-2.414958378297778,-4.145062179922684,-0.19938116651608967,3.9456810134065945,True
only_2001-09,2001-09,1,1474,1430,1430.0,-3.1555057915269322,24,-2.9318890058712817,-4.89772504047887,-0.3101657015252132,4.587559338953657,True
only_2008-09,2008-09,1,1457,1403,1403.0,-3.3055283873550527,23,-3.0969531400051684,-5.027923592903511,-0.8708798948813108,4.1570436980222,True
only_2020-03,2020-03,1,1444,1435,1435.0,-3.1792025055038264,24,-2.9111695514352007,-4.96168671546524,-0.432295994293688,4.529390721171552,True
drop_1987-10,2001-09+2008-09+2020-03,3,1378,1285,1285.0,-3.1311613701743637,23,-2.9018231520582427,-4.825713523726126,-0.7188781700626952,4.106835353663431,True
drop_2001-09,1987-10+2008-09+2020-03,3,1436,1097,1097.0,-2.6361724093204666,24,-2.3858119510132076,-4.072254326617523,-0.49673288991133846,3.5755214367061847,True
drop_2008-09,1987-10+2001-09+2020-03,3,1427,1165,1165.0,-2.6431576616980466,24,-2.4253641123391128,-4.247712115161802,-0.15923321927997885,4.088478895881823,True
drop_2020-03,1987-10+2001-09+2008-09,3,1439,1106,1106.0,-2.633060659393595,24,-2.3913479344491693,-4.137872365799402,-0.6054529395604964,3.5324194262389055,True
