model,max_diff,n_stable,mod_0,mod_1,mod_2,mod_3,mod_4,mod_5,mod_6
fertility_adj_costs.mod,0.00029148557055935775,12,0.10000000000036223,0.5844146350216052,0.8888530588399575,0.9000000010924404,0.9599999997839995,1.2542914855705594,1.8560681104530374
bayesian_estimation.mod,0.00043344524971966614,12,0.4999999998392262,0.6838095935050542,0.7807489529621185,0.9000000259940828,0.9196909027732708,1.1924334452497196,1.5488046436893894
