scale,ok,n_stable_qz,tau_n,beta,l_o,endo_1,endo_2,endo_3,endo_4,err
1e-10,True,11.0,-5.7174521134176,0.9167603626081695,9.530738531253427,0.1799130406068419,1.0395715432409431,1.1840963529043256,12.32164724465201,
1e-10,True,12.0,0.016097954294958448,0.9167603629496008,0.6220905216300437,0.6951391835107547,0.9554858681066655,1.1665921892932511,1.5781837966882692,
1e-10,True,11.0,-1.083937787827019,0.9167603616813171,2.28789428611237,0.6518186328011684,1.0853352900026807,1.141425229924534,1.7132115887043522,
1e-10,True,11.0,-0.7553960590493725,0.9167603624355772,1.9121739274479492,0.4865834463406023,1.1339701239906381,1.133970126563079,1.6256856956546928,
1e-10,True,12.0,0.19089733260425276,0.9167603622348927,0.3863489249570069,0.5560292687042743,0.9329994683136069,1.1714949758394482,1.9767826170416303,
1e-10,True,11.0,-0.6833459999508525,0.9167603610241644,1.661712265163954,0.7510301692218114,1.1127978680303074,1.1127978711536661,1.3821211890413947,
1e-10,False,,,,,,,,,"solve_bgp: least_squares did not converge (status=0, residua"
1e-10,True,11.0,-10.169701580878801,0.8724237613786286,15.451086365873099,0.8817655256821856,1.0001064987412218,1.1230795777757239,1.1751566033803842,
1e-10,True,11.0,-2.9303795437556994,0.9167603665946317,5.174146056162281,0.36548514549337957,1.046439610021713,1.1776765857150269,4.065791829144786,
1e-10,True,11.0,-0.6592636990298425,0.9167603671735396,1.6240679174132984,0.7575945249226836,1.112275002445294,1.1122750097185956,1.3650654340950834,
1e-10,True,12.0,0.3559340327861024,0.916760362549551,0.03716897168999922,0.7784895526839264,0.9710458690641602,1.158789930371476,1.1587899305181413,
1e-10,True,11.0,-0.9304203774180099,0.9167603635644626,2.0479245266725026,0.6876966194770209,1.1135792746647102,1.1135792812810825,1.5784724187391448,
1e-10,True,11.0,-0.5806643781546498,0.9167603613439625,1.5012059697631168,0.7795157386538494,1.1090079301688565,1.1090079314874572,1.3141129406480307,
1e-10,True,11.0,-0.48878165512556504,0.9167603632354863,1.3575862333401425,0.8060843302537012,1.1003552295084744,1.100355229511112,1.267303510741641,
1e-10,True,11.0,-0.9711235478986677,0.916760364276404,2.1115493856717142,0.6779360602872696,1.1089738566765395,1.1179325262351132,1.6133879281460426,
1e-08,True,11.0,-1.2847701839517636,0.9167603622318928,2.601823870055326,0.6085281275356781,1.0713734277962617,1.1548536685644453,1.9017458413267248,
1e-08,True,11.0,-2.3362729939908644,0.9167603630092399,4.245472865862887,0.4349266933426002,1.050417802181644,1.174057920381067,3.1402352859417446,
1e-08,True,11.0,-2.497022766038625,0.9167603583860594,4.496747904368148,0.4145029866420866,1.0491200455717158,1.175234340549992,3.3724392775877154,
1e-08,True,12.0,0.06732307716042564,0.9167603664381834,0.574314847292918,0.5939786342165626,0.9487987827586655,1.1685598965466304,1.8469300656566316,
1e-08,True,11.0,-1.0073638867432173,0.9167603660547509,2.1997834711180824,0.6143475704820754,1.1010987853464547,1.140577375863043,1.7898397561097261,
1e-08,True,12.0,0.19825300829887435,0.916760362651122,0.3704276468534272,0.5667641240406512,0.9321639435153137,1.1718469535459801,1.9487421731686263,
1e-08,True,11.0,-1.4716430267384077,0.9167603644523119,2.8939327928357623,0.5716203689592624,1.064320348189087,1.1614231225262042,2.0898905788271,
1e-08,True,11.0,-4.123957029717462,0.9167603639877859,7.039878046230871,0.2649324494971585,1.0422568397303742,1.1815477122866114,6.60827376584076,
1e-08,True,11.0,-0.8249368609222456,0.9167603612810422,2.0251663286852795,0.4769190351574442,1.1399711338810323,1.1399711355087483,1.6092300733133418,
1e-08,True,12.0,-0.09889654014760373,0.9167603649819722,0.8011005281699527,0.7018044218420239,0.9803234774134653,1.1604066500167751,1.555441436875447,
1e-08,True,11.0,-1.812211679458057,0.9167603633319383,4.024450331475125,0.40544242270400316,1.0603335026191059,1.0603335026553058,1.1620563440966005,
1e-08,True,11.0,-1.6187180802531858,0.9167603653188452,3.1238320420706316,0.5446505429682114,1.0604786743590728,1.164943889154833,2.2469880813095084,
1e-08,True,11.0,-2.694962037766086,0.9167603648635861,4.892130412103481,0.3509117882236734,1.0816714406394052,1.183748956483067,2.7858138111569897,
1e-08,True,11.0,-1.416908917572196,0.9167603610897795,2.8083756268470688,0.5821133571836405,1.0660704744501899,1.1598065257778982,2.0334807921760425,
1e-08,True,13.0,0.04408036486406739,0.9167603616966331,0.5246408305302791,0.9720537176442235,0.9720537223712605,0.9987085618262307,1.1651141385770676,
1e-06,True,11.0,-1.1237884015396695,0.9167603633805718,2.3501863590358525,0.6429111537245237,1.0815478485471721,1.1451183582543314,1.7495196947960556,
1e-06,True,11.0,-1.5350490187088088,0.9167603620538256,2.9930454374007924,0.5597788666292273,1.0625295919286561,1.1630687631809646,2.156619385863031,
1e-06,True,11.0,-1.276116872018488,0.9167603630992569,2.588297522295753,0.610313256737294,1.0717906839499463,1.1544603569368486,1.8933347423166293,
1e-06,True,11.0,-1.1036103431709596,0.9167603581621319,2.3186452624644542,0.6474011874475099,1.0833649896366642,1.1433505049245654,1.7310672399025129,
1e-06,True,12.0,-0.03181246325412945,0.9167603664550812,0.701803713035044,0.6834059207647596,0.9651948733825843,1.1644964912416422,1.6082372713601631,
1e-06,True,11.0,-0.7556601442826246,0.9167603648588221,1.774749331670702,0.7317460334877889,1.1136063285175142,1.1136063300741437,1.4361706673239825,
1e-06,True,11.0,-3.8855942209433985,0.9167603649936071,6.667282974665015,0.28178615485801245,1.0428661011184337,1.1809774942794857,6.012358397596776,
1e-06,True,11.0,-1.660620556116236,0.9167603636116214,3.1893316325732908,0.537279710800447,1.0595617834998725,1.1657792435444783,2.2932544003676356,
1e-06,True,11.0,-1.1649507029473967,0.9167603634820256,2.414528915774728,0.6338788845143616,1.0783319845965693,1.1482267994418494,1.7875938140486483,
1e-06,True,11.0,-1.0235316558399294,0.9167603624200942,2.1934707788271974,0.6656348820283293,1.0933390476670832,1.1335306717174416,1.6592120857719763,
1e-06,True,11.0,-0.39777695787027895,0.9167603657960299,1.2153272119619303,0.8334307069885566,1.0855111465742726,1.0855111479506738,1.2360798909437802,
1e-06,True,11.0,-0.8499812139877758,0.9167603658114545,2.1043824446702657,0.43638472977447795,1.1596921737556756,1.1596921753982532,1.4254266785424643,
1e-06,True,11.0,-4.951781548124049,0.9167603625522561,9.898669138700312,0.44415117521696246,1.0162142021187934,1.0162142021654037,1.1615543586047166,
1e-06,True,11.0,-1.8480940323344226,0.9167603621602626,3.482379490255402,0.5058918383010649,1.0561430952851834,1.1688812616259572,2.5087593381639692,
1e-06,True,11.0,-1.4623156224142204,0.9167603624345997,3.470825318109854,0.4105039315639205,1.0480037914434506,1.0480037914457958,1.162845784510695,
0.0001,True,11.0,-1.4505609333056693,0.9167603648553908,2.860978464536333,0.575631793585743,1.0649697896279704,1.1608242213104136,2.068033262176331,
0.0001,True,11.0,-2.211869645392269,0.9167603652140321,4.051012597013797,0.45167082643922396,1.0515804193453897,1.1730059573422467,2.9691052336602235,
0.0001,True,12.0,-0.13800522950313435,0.9167603653018354,0.8369689104739599,0.7846060330154694,0.999867411729869,1.144625920045347,1.3495854635394813,
0.0001,True,12.0,0.2977077545076474,0.9167603645812222,0.1498162188294365,0.7355222002173698,0.9337770851100179,1.2036499932338443,1.3148725747435361,
0.0001,True,11.0,-3.0480376600376804,0.9167603693918187,5.358062303109838,0.35352789366278586,1.045862086904895,1.178205882818837,4.272426927535406,
0.0001,True,11.0,-0.5381581921258153,0.9167603626068623,1.6519925952816044,0.41219927607884416,1.1178877213646918,1.1508234590086925,1.3475999713660007,
0.0001,True,12.0,-0.0508195978929369,0.9167603653129506,0.6886339747100062,0.8479712466226791,0.9761322706762664,1.136733720624608,1.2368304732051159,
0.0001,True,11.0,-0.5508525828433591,0.9167603634430352,1.4546062679981444,0.7880273051242632,1.1068796271216417,1.1068796271411914,1.2972095752219879,
0.0001,True,11.0,-0.6128600245229902,0.9167603636303544,1.5515323659135243,0.7704436900910162,1.1106979240913752,1.110697924139342,1.333983352318986,
0.0001,True,11.0,-0.6122405835567768,0.916760362959091,1.5505641108574466,0.7706169779576101,1.1106706022940216,1.1106706045591395,1.3335867930730716,
0.0001,True,11.0,-0.1784687589528263,0.9167603649977926,0.8865379430937342,0.8347275793086928,1.0690182412290288,1.0690182593843858,1.2493287796317332,
0.0001,True,12.0,-0.14570535349231312,0.9167603657496878,0.8793682114366884,0.6858954868070848,0.9910352964066423,1.1587677357938235,1.589422049505163,
0.0001,True,11.0,-0.23989661158399056,0.9167603627747003,0.9685374594524402,0.8828724825992084,1.0503378983267428,1.0503378984513485,1.2049540285268412,
0.0001,True,11.0,-0.4277619976296308,0.9167603620664847,1.2622048966220125,0.8242973372086129,1.0910367960209428,1.0910367967103218,1.2448954366858485,
0.0001,True,11.0,-0.7648521937533629,0.9167603650842958,2.0230459900860813,0.4057629976193802,1.172318207248726,1.2046526095917856,1.2046526099111385,
