abs_alpha,abs_beta,modulus,class
0.0,1.0,0.0,stable
0.0,1.0,0.0,stable
0.0,1.0,0.0,stable
0.0,1.0,0.0,stable
0.0,1.0,0.0,stable
0.0,1.0,0.0,stable
0.0,1.0,0.0,stable
0.4472135954999636,0.8944271909999273,0.5,stable
0.462994995936528,0.7781096436325161,0.5950253922764518,stable
0.695952131862857,0.891390405262733,0.7807489599999996,stable
0.6913335749952393,0.7681484166613771,0.8999999999999999,stable
1.124017267384354,1.051978935527975,1.0684788729350592,unstable
0.6815017023584952,0.588736008241734,1.1575675562869119,unstable
2.417728129849282,1.2289368441128004,1.9673330988743358,unstable
1.3437161684760113,0.0,inf,infinite
1.3802605226739022,3.756593573229219e-17,inf,infinite
1.118033988821886,8.124021974314673e-18,inf,infinite
1.473432514185957,1.3284292075766892e-31,inf,infinite
2.3693127734074175,1.5407439555097885e-33,inf,infinite
1.6603274145613376,3.1004965644666507e-18,inf,infinite
2.3015631310379447,1.5096290999678165e-20,inf,infinite
1.4540756117857585,7.618451173260811e-19,inf,infinite
1.651915611367866,4.547767016928045e-19,inf,infinite
0.5247598907992731,3.5725822364244715e-18,inf,infinite
