case,n_stable,margin,endo_1,endo_2,endo_3,endo_4
Bayesian .mod baseline (exact SS),12,0.08030909722672919,0.6838095935050542,0.9196909027732708,1.1924334452497196,1.5488046436893894
+ barp: log(1/1.03) -> 0,12,0.08049699277615985,0.6840856623656763,0.9195030072238402,1.1928560092931808,1.5491361330684872
+ omega: 2.0 -> 2.5,12,0.07241774103791376,0.6770905680073268,0.9275822589620862,1.1813577735604928,1.559097815764694
+ g: 0.0175 -> 0.017,12,0.07990235247793553,0.6836096332175425,0.9200976475220645,1.1919021954332676,1.549068197083335
+ all three port constants,12,0.07221700788806418,0.6772156099805191,0.9277829921119358,1.1812656942214537,1.5596143774386095
"Bayesian params, NO exact SS (initval pt)",12,0.06923832053747558,0.6623229193813212,0.9307616794625244,1.159845024636231,1.5505838730045345
