param,value,ok,n_stable,margin,robust,boundary_root
beta,0.85,True,12,0.10000001429880379,True,0.8777085581954394
beta,0.8596666666666667,True,12,0.10000003328812834,True,0.8812539513762468
beta,0.8693333333333333,True,12,0.10000003075188801,True,0.8850098245831073
beta,0.879,True,12,0.10000001455099483,True,0.8890033551949152
beta,0.8886666666666666,True,12,0.10000003724313467,True,0.8932666471902889
beta,0.8983333333333333,True,12,0.1000001441486883,True,0.8978379780380698
beta,0.908,True,12,0.09723706830076928,True,0.9027629316992307
beta,0.9176666666666666,True,12,0.09190117816159482,True,0.9080988218384052
beta,0.9273333333333333,True,12,0.08608539120439251,True,0.9139146087956075
beta,0.9369999999999999,True,12,0.07970338041606695,True,0.920296619583933
beta,0.9466666666666667,True,12,0.07264771029145001,True,0.92735228970855
beta,0.9563333333333333,True,12,0.06478683292741017,True,0.9352131670725898
beta,0.966,True,12,0.05597132587528586,True,0.9440286741247141
beta,0.9756666666666667,True,12,0.04607773459896258,True,0.9539222654010374
beta,0.9853333333333333,True,12,0.03520322677646737,True,0.9647967732235326
beta,0.995,True,12,0.024374740474263135,True,0.9756252595257369
psik,0.25,True,12,0.10000005072602913,True,0.8805644772865439
psik,0.9,True,12,0.10000040470585536,True,0.896402478867135
psik,1.55,True,12,0.09228666949055475,True,0.9077133305094452
psik,2.2,True,12,0.0836594407405521,True,0.9163405592594479
psik,2.85,True,12,0.07679138626421733,True,0.9232086137357827
psik,3.5,True,12,0.07115468623241039,True,0.9288453137675896
psik,4.15,True,12,0.06642129954234877,True,0.9335787004576512
psik,4.8,True,12,0.062374520326032856,True,0.9376254796739671
psik,5.45,True,12,0.05886438619731993,True,0.9411356138026801
psik,6.1000000000000005,True,12,0.055783430442768234,True,0.9442165695572318
psik,6.75,True,12,0.05305202039810808,True,0.9469479796018919
psik,7.4,True,12,0.050609832715993175,True,0.9493901672840068
psik,8.05,True,12,0.04841020988685374,True,0.9515897901131463
psik,8.700000000000001,True,12,0.04641640104559985,True,0.9535835989544001
psik,9.35,True,12,0.04459895019092763,True,0.9554010498090724
psik,10.0,True,12,0.04293397112062525,True,0.9570660288793748
psin,0.25,True,12,0.08028665297230253,True,0.9197133470276975
psin,0.9,True,12,0.08029135013802269,True,0.9197086498619773
psin,1.55,True,12,0.08029618943491068,True,0.9197038105650893
psin,2.2,True,12,0.08030113545769524,True,0.9196988645423048
psin,2.85,True,12,0.08030627652258104,True,0.919693723477419
psin,3.5,True,12,0.08031156189751443,True,0.9196884381024856
psin,4.15,True,12,0.08031698331561865,True,0.9196830166843813
psin,4.8,True,12,0.08032265445005293,True,0.9196773455499471
psin,5.45,True,12,0.0803283548597451,True,0.9196716451402549
psin,6.1000000000000005,True,12,0.08033436625776569,True,0.9196656337422343
psin,6.75,True,12,0.08034040821082356,True,0.9196595917891764
psin,7.4,True,12,0.08034696588119095,True,0.919653034118809
psin,8.05,True,12,0.08035359821426902,True,0.919646401785731
psin,8.700000000000001,True,12,0.08036020872430305,True,0.919639791275697
psin,9.35,True,12,0.08036735496783709,True,0.9196326450321629
psin,10.0,True,12,0.08037447983546353,True,0.9196255201645365
omega,1.15,True,12,0.100000019404617,True,0.8773062367830892
omega,1.3066666666666666,True,12,0.10000019040287511,True,0.8919868383842708
omega,1.4633333333333334,True,12,0.09818290803773821,True,0.9018170919622618
omega,1.6199999999999999,True,12,0.09115376660304708,True,0.9088462333969529
omega,1.7766666666666666,True,12,0.08588333873915699,True,0.914116661260843
omega,1.9333333333333333,True,12,0.08178734407020816,True,0.9182126559297918
omega,2.09,True,12,0.07851404376494708,True,0.9214859562350529
omega,2.2466666666666666,True,12,0.0758393707542826,True,0.9241606292457174
omega,2.4033333333333333,True,12,0.07361365083750149,True,0.9263863491624985
omega,2.56,True,12,0.0717331414397635,True,0.9282668585602365
omega,2.716666666666667,True,12,0.07012376924645913,True,0.9298762307535409
omega,2.873333333333333,True,12,0.06873119349681656,True,0.9312688065031834
omega,3.0300000000000002,True,12,0.06751461700961381,True,0.9324853829903862
omega,3.1866666666666665,True,12,0.06644278056984654,True,0.9335572194301535
omega,3.3433333333333333,True,12,0.06549148440513985,True,0.9345085155948601
omega,3.5,True,12,0.06464158805351172,True,0.9353584119464883
delta_k,0.06,True,12,0.07845057228380636,True,0.9215494277161936
delta_k,0.076,True,12,0.07891636764524856,True,0.9210836323547514
delta_k,0.092,True,12,0.07931205940678865,True,0.9206879405932114
delta_k,0.108,True,12,0.07965765951556347,True,0.9203423404844365
delta_k,0.124,True,12,0.07996537318295738,True,0.9200346268170426
delta_k,0.14,True,12,0.0802434838785061,True,0.9197565161214939
delta_k,0.156,True,12,0.08049759821133384,True,0.9195024017886662
delta_k,0.172,True,12,0.08073193874387552,True,0.9192680612561245
delta_k,0.188,True,12,0.08094953650270076,True,0.9190504634972992
delta_k,0.20400000000000001,True,12,0.08115286772387109,True,0.9188471322761289
delta_k,0.22,True,12,0.08134392344561492,True,0.9186560765543851
delta_k,0.236,True,12,0.08152406002403523,True,0.9184759399759648
delta_k,0.252,True,12,0.08169469819279351,True,0.9183053018072065
delta_k,0.268,True,12,0.08185677163004668,True,0.9181432283699533
delta_k,0.28400000000000003,True,12,0.08201117643646683,True,0.9179888235635332
delta_k,0.3,True,12,0.08215872719869566,True,0.9178412728013043
rhoa,0.05,True,12,0.08030907982914992,True,0.9196909201708501
rhoa,0.11266666666666666,True,12,0.08030907920051034,True,0.9196909207994897
rhoa,0.17533333333333334,True,12,0.08030908186173902,True,0.919690918138261
rhoa,0.238,True,12,0.08030908138710302,True,0.919690918612897
rhoa,0.30066666666666664,True,12,0.0803090814721259,True,0.9196909185278741
rhoa,0.3633333333333333,True,12,0.08030908316533247,True,0.9196909168346675
rhoa,0.426,True,12,0.08030908386348623,True,0.9196909161365138
rhoa,0.48866666666666664,True,12,0.08030908313485152,True,0.9196909168651485
rhoa,0.5513333333333333,True,12,0.08030910359688448,True,0.9196908964031155
rhoa,0.614,True,12,0.0803090743774354,True,0.9196909256225646
rhoa,0.6766666666666666,True,12,0.0803091007019362,True,0.9196908992980638
rhoa,0.7393333333333333,True,12,0.08030911013147357,True,0.9196908898685264
rhoa,0.802,True,12,0.0803091196661686,True,0.9196908803338314
rhoa,0.8646666666666667,True,12,0.08030917245919922,True,0.9196908275408008
rhoa,0.9273333333333333,True,12,0.07266689101356594,True,0.9196912389126698
rhoa,0.99,True,12,0.010000016826511415,True,0.919691001653659
rhon,0.05,True,12,0.0803090780455541,True,0.9196909219544459
rhon,0.11266666666666666,True,12,0.08030908595518083,True,0.9196909140448192
rhon,0.17533333333333334,True,12,0.08030907672465126,True,0.9196909232753487
rhon,0.238,True,12,0.08030908643771317,True,0.9196909135622868
rhon,0.30066666666666664,True,12,0.08030909833928401,True,0.919690901660716
rhon,0.3633333333333333,True,12,0.08030909309232548,True,0.9196909069076745
