method,h,n_stable_qz,max_drift_vs_cs,mod_0,mod_1,mod_2,mod_3,mod_4,mod_5,mod_6,mod_7,mod_8,mod_9,mod_10,mod_11,mod_12,mod_13
central,0.0001,11,1.9858115174464785e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000002,0.595025358778134,0.7807489599999994,0.8999999999999992,1.0684787012164332,1.1575676711547023,1.967333297593661
central,1e-05,11,1.9716424048965564e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999355077,0.59502539195527,0.7807489600000007,0.9000000000000002,1.0684788708463047,1.1575675577987374,1.9673331009841517
central,1e-06,11,3.5754643690211196e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5950253922764518,0.7807489599999996,0.8999999999999999,1.0684788729350592,1.1575675562869119,1.9673330988743358
central,1e-07,11,5.500146116332871e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000006449653,0.5950253919655528,0.7807489600000003,0.9000000000000011,1.0684788681514117,1.157567562126839,1.9673330985661495
central,1e-08,11,1.3091709272217145e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000007,0.5950253947496598,0.780748960000001,0.9000000000000005,1.0684788714604139,1.1575675627360116,1.9673331121042186
richardson,0.0001,11,3.9113157157544265e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999982806,0.5950253922894473,0.7807489599999997,0.8999999999999997,1.0684788725736014,1.1575675566274861,1.967333099009471
richardson,1e-05,11,9.321876603962664e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000021501,0.5950253922703859,0.7807489599999992,0.9000000000000001,1.0684788726707315,1.1575675565396921,1.9673330990550373
richardson,1e-06,11,4.144256049443129e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000001719912,0.5950253923518244,0.7807489599999993,0.9000000000000002,1.068478872545752,1.1575675564673986,1.967333099426935
cs,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000002,0.5950253922902193,0.7807489599999998,0.8999999999999998,1.0684788725775127,1.157567556626693,1.9673330990125093
