qz_modulus,det_modulus,abs_diff
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5,0.4999999997907715,2.092285233956659e-10
0.5950253922764518,0.5950253928943223,6.178705325154965e-10
0.7807489599999996,0.7807489585009627,1.4990368946143917e-09
0.8999999999999999,0.9000000017664235,1.7664235629766267e-09
1.0684788729350592,1.0684788718057037,1.1293554980085219e-09
1.1575675562869119,1.157567556740878,4.5396619796633786e-10
1.9673330988743358,1.9673330988736906,6.45261621912141e-13
