h,y_o1,y_o3,c_o1,c_o3,l_o1,l_o3
1,5.27413158555401,6.07739587246492,0.932080831041849,1.05265920442481,0.409151620229853,0.454254048120342
2,4.98542371366075,5.74277847200854,0.963357722100166,1.08876879839432,0.112423402106593,0.120715510581095
3,4.71223986936332,5.42680495738006,0.98967959069377,1.11902593163319,-0.157438722736986,-0.18152790051248
4,4.45375644877338,5.12523051018661,1.01144185037417,1.14383965509747,-0.40230186873168,-0.455015476520669
5,4.20919309224948,4.8430279656337,1.02901371433425,1.16383135327191,-0.623916986281159,-0.701779009685879
6,3.97781043230963,4.57394193698037,1.04273978539428,1.17931591059511,-0.823925663107877,-0.924183349426176
7,3.75890795806141,4.31912595135174,1.05294155429836,1.19073020567949,-1.00386654228697,-1.12404749005973
8,3.55182199015373,4.07820445289272,1.05991881143585,1.19844374186817,-1.16518137801703,-1.303105992062
9,3.3559237605611,3.85100399366997,1.06395097682474,1.20281717143019,-1.3092207490417,-1.46282848740175
10,3.17061759180282,3.63740609211967,1.06529835292919,1.20415962451025,-1.43724944856209,-1.60455845466938
11,2.99533917047615,3.43549154690555,1.06420330463423,1.20273887300827,-1.55045156846332,-1.72986387144944
12,2.82955391024557,3.24412914086284,1.06089137046365,1.19882051700992,-1.6499352947151,-1.84006156511052
13,2.67275539967841,3.0600387945446,1.05557230890416,1.19262825301751,-1.7367374298949,-1.93713767749042
14,2.52446393055442,2.89027123575056,1.04844108348668,1.18442295442314,-1.81182765791932,-2.02030686158652
15,2.38422510250068,2.72981728436552,1.03967879007569,1.17439863553107,-1.87611256525187,-2.09141437671366
16,2.25160850001622,2.57701728915161,1.02945352962792,1.1627405367908,-1.93043943208226,-2.15192643857578
17,2.12620643815278,2.4340653170923,1.01792122950257,1.14962333118952,-1.97559980624004,-2.20184995397402
18,2.00763277330974,2.29800710245933,1.00522641623558,1.13521593964882,-2.01233287191209,-2.24273439162657
19,1.8955217757829,2.16921001645803,0.99150294252994,1.11966552980044,-2.04132862457788,-2.27520937542622
20,1.78952706087991,2.04653819486975,0.976874671062562,1.10312452242945,-2.06323086295526,-2.30020063951178
21,1.68932057557807,1.93069216853388,0.961456117564116,1.08570936527349,-2.07864000816168,-2.3180049138749
22,1.59459163785623,1.82206955181469,0.945353055493218,1.06752657675342,-2.08811575973992,-2.32897336635989
23,1.50504602597983,1.71919929108618,0.928663084497191,1.04869913307336,-2.09217959767072,-2.33408878732028
24,1.42040511515754,1.62141560493842,0.911476164730451,1.02933213768808,-2.09131713899647,-2.33409498761801
25,1.34040505912105,1.52802652315282,0.893875118986909,1.00953376815008,-2.08598035720898,-2.32968113515667
26,1.26479601430574,1.44099455587638,0.87593610449357,0.989344276299144,-2.07658967210805,-2.32038499546076
27,1.19334140442845,1.35910008767364,0.857729056110292,0.968855797582204,-2.06353591741532,-2.30671248846898
28,1.12581722337306,1.27902918873946,0.839318102583241,0.948212385238769,-2.04718219302877,-2.29074856629027
29,1.0620113744013,1.20623129352315,0.82076195740777,0.927343344741779,-2.02786560842501,-2.27026544724333
30,1.00172304380867,1.13713427028402,0.802114285769503,0.906383700988946,-2.00589892335923,-2.24705821944715
31,0.944762107241975,1.07102259319675,0.783424048950602,0.885402764607547,-1.98157209167404,-2.22154079733323
32,0.890948566986764,1.01045877318166,0.764735827510017,0.864369123001955,-1.9551537137089,-2.19267681387005
33,0.840112018620429,0.953331392235544,0.746090124473633,0.843367645310551,-1.92689240249851,-2.16157979037602
34,0.79209114550871,0.898560991735712,0.727523649700588,0.822481272486578,-1.89701806866284,-2.12889935704691
35,0.746733239702831,0.846501166519504,0.709069586526521,0.801732144558363,-1.86574312861987,-2.09498974787459
36,0.703893747867492,0.796489622825729,0.690757841722444,0.781176938663671,-1.83326364049647,-2.06019448534395
37,0.663435840942079,0.750037020139314,0.672615279749503,0.76078958585942,-1.79976037187028,-2.02382457912514
38,0.625230006302974,0.706583556940965,0.65466594223444,0.740600458699407,-1.76539980324616,-1.98632124687133
39,0.589153661259441,0.664504141687709,0.636931253538175,0.72069483633807,-1.73033507095431,-1.9485759021725
40,0.555090786775304,0.62485775341939,0.619430213240619,0.70105530860997,-1.69470685295188,-1.91027392661295
