observation_date,PIRIC
1947-01-01,4.758869008428510
1947-04-01,4.841142694390870
1947-07-01,4.816790551753260
1947-10-01,4.757012311271960
1948-01-01,4.725272943579510
1948-04-01,4.737359585131940
1948-07-01,4.785778433902960
1948-10-01,4.799410683147140
1949-01-01,4.779354074964560
1949-04-01,4.748751600353060
1949-07-01,4.681744322525000
1949-10-01,4.643821476621780
1950-01-01,4.624841431684120
1950-04-01,4.638155182403230
1950-07-01,4.606669607242310
1950-10-01,4.569716625079030
1951-01-01,4.544235907422970
1951-04-01,4.536447920048030
1951-07-01,4.542442191983490
1951-10-01,4.525749564841210
1952-01-01,4.545677551857890
1952-04-01,4.538493916382130
1952-07-01,4.531526914722970
1952-10-01,4.455622335167550
1953-01-01,4.446081069959500
1953-04-01,4.439730005987290
1953-07-01,4.399863609203300
1953-10-01,4.355091860440880
1954-01-01,4.328398789151730
1954-04-01,4.277458791985700
1954-07-01,4.254236465336840
1954-10-01,4.253676745340430
1955-01-01,4.266092250248890
1955-04-01,4.291499478815080
1955-07-01,4.315707159037000
1955-10-01,4.320454435030890
1956-01-01,4.329617873476810
1956-04-01,4.306974440455520
1956-07-01,4.322756872996730
1956-10-01,4.340258338538300
1957-01-01,4.347851951265450
1957-04-01,4.351540534133510
1957-07-01,4.305030668292230
1957-10-01,4.254653027057570
1958-01-01,4.156124633814270
1958-04-01,4.106555704095990
1958-07-01,4.071583546563540
1958-10-01,4.048304071637980
1959-01-01,4.045279700689560
1959-04-01,4.033647541260300
1959-07-01,4.000935991739370
1959-10-01,3.966839155646130
1960-01-01,3.948908122252380
1960-04-01,3.918214591928580
1960-07-01,3.889140682333040
1960-10-01,3.860818678593180
1961-01-01,3.850399763097150
1961-04-01,3.861563614229360
1961-07-01,3.850140883591720
1961-10-01,3.836565199633030
1962-01-01,3.810149468928070
1962-04-01,3.791354759940470
1962-07-01,3.779702631676790
1962-10-01,3.751542741592680
1963-01-01,3.737853653431380
1963-04-01,3.727422110257970
1963-07-01,3.694864257904860
1963-10-01,3.677250259459190
1964-01-01,3.634998717862210
1964-04-01,3.631758439532790
1964-07-01,3.610990831709970
1964-10-01,3.613565702248340
1965-01-01,3.603915235404010
1965-04-01,3.575622126524120
1965-07-01,3.542298606314810
1965-10-01,3.523500841927510
1966-01-01,3.451938027299610
1966-04-01,3.442558265997550
1966-07-01,3.405539031882440
1966-10-01,3.400050880910460
1967-01-01,3.389580060825300
1967-04-01,3.383498886293360
1967-07-01,3.373444060272220
1967-10-01,3.373009479447100
1968-01-01,3.351679338414580
1968-04-01,3.329220905038670
1968-07-01,3.304071474762010
1968-10-01,3.310205636731060
1969-01-01,3.295159040937340
1969-04-01,3.276459242947280
1969-07-01,3.256825733298530
1969-10-01,3.256502672655050
1970-01-01,3.242615229068250
1970-04-01,3.257794598355260
1970-07-01,3.230186760876910
1970-10-01,3.231432353805010
1971-01-01,3.248607579199030
1971-04-01,3.242530207367900
1971-07-01,3.223766463973040
1971-10-01,3.211883959538780
1972-01-01,3.220362308226490
1972-04-01,3.225984426888130
1972-07-01,3.224662054369320
1972-10-01,3.216572304319670
1973-01-01,3.197096840100570
1973-04-01,3.168754048013470
1973-07-01,3.141616128987290
1973-10-01,3.083350104894590
1974-01-01,3.015465202597560
1974-04-01,3.002440722989270
1974-07-01,3.040684369007130
1974-10-01,3.082761530730660
1975-01-01,3.120464414877190
1975-04-01,3.156596237295990
1975-07-01,3.126486994020780
1975-10-01,3.109827339097220
1976-01-01,3.093561645104740
1976-04-01,3.097029047185570
1976-07-01,3.070962585525990
1976-10-01,3.054104503781870
1977-01-01,3.027349507944900
1977-04-01,2.996683105463920
1977-07-01,2.995940946954160
1977-10-01,3.007794586627630
1978-01-01,3.014743534784920
1978-04-01,3.002453686387810
1978-07-01,2.990561838932940
1978-10-01,2.968391912680770
1979-01-01,2.937568862761990
1979-04-01,2.896302224225020
1979-07-01,2.857259839449240
1979-10-01,2.829013506837270
1980-01-01,2.810616247714130
1980-04-01,2.801907889204860
1980-07-01,2.787544784732440
1980-10-01,2.768587667282990
1981-01-01,2.750503248775970
1981-04-01,2.763968114110250
1981-07-01,2.764361987652540
1981-10-01,2.774636553105440
1982-01-01,2.776239957656560
1982-04-01,2.782552064249680
1982-07-01,2.751600588689250
1982-10-01,2.727626959960340
1983-01-01,2.707822365158850
1983-04-01,2.677462506454330
1983-07-01,2.640325596062360
1983-10-01,2.624105480212080
1984-01-01,2.573866239528340
1984-04-01,2.551778929121700
1984-07-01,2.531583738944170
1984-10-01,2.517038442774710
1985-01-01,2.493443163773070
1985-04-01,2.473123859523510
1985-07-01,2.452023488367830
1985-10-01,2.440141733710780
1986-01-01,2.421897354042990
1986-04-01,2.436372253524160
1986-07-01,2.439352202810310
1986-10-01,2.434412160707840
1987-01-01,2.419558891998370
1987-04-01,2.401503643731630
1987-07-01,2.384711951365630
1987-10-01,2.377108962821910
1988-01-01,2.363649891015510
1988-04-01,2.346839223792860
1988-07-01,2.326628238029770
1988-10-01,2.319485567946340
1989-01-01,2.300146859968280
1989-04-01,2.272045588645820
1989-07-01,2.263100830265490
1989-10-01,2.250755248890480
1990-01-01,2.224350664204770
1990-04-01,2.203449618089260
1990-07-01,2.177543617195770
1990-10-01,2.151516620198380
1991-01-01,2.156236356708230
1991-04-01,2.144551232007010
1991-07-01,2.129328985388850
1991-10-01,2.105160216573060
1992-01-01,2.083395073548240
1992-04-01,2.068978369481730
1992-07-01,2.054721904855130
1992-10-01,2.042013818204570
1993-01-01,2.030199873747460
1993-04-01,2.022101635662560
1993-07-01,2.016889998827010
1993-10-01,2.011600325623540
1994-01-01,2.010135514345130
1994-04-01,2.004392477158820
1994-07-01,1.997220830851440
1994-10-01,1.989859214317720
1995-01-01,1.986820987876890
1995-04-01,1.973518910379810
1995-07-01,1.961435138645080
1995-10-01,1.945400785694410
1996-01-01,1.928247893726410
1996-04-01,1.902170603148440
1996-07-01,1.891488906496750
1996-10-01,1.870450616364500
1997-01-01,1.856377786100790
1997-04-01,1.841515782070570
1997-07-01,1.829243794020890
1997-10-01,1.812992242106290
1998-01-01,1.798105957645570
1998-04-01,1.781527823982030
1998-07-01,1.764001578776610
1998-10-01,1.748858892074580
1999-01-01,1.735127867405540
1999-04-01,1.716575111554110
1999-07-01,1.696717245950970
1999-10-01,1.680206478663070
2000-01-01,1.664625554865520
2000-04-01,1.654925789185650
2000-07-01,1.639260190504560
2000-10-01,1.625293209038430
2001-01-01,1.604760816040330
2001-04-01,1.590456901246740
2001-07-01,1.583511922767950
2001-10-01,1.575850424609250
2002-01-01,1.560653895903140
2002-04-01,1.541003302964460
2002-07-01,1.523809090874890
2002-10-01,1.512419678942020
2003-01-01,1.490338942277290
2003-04-01,1.477172084616860
2003-07-01,1.456909618311280
2003-10-01,1.446904818662980
2004-01-01,1.440848393901060
2004-04-01,1.437707610964970
2004-07-01,1.430563280806700
2004-10-01,1.424739067417410
2005-01-01,1.421326894982050
2005-04-01,1.417020842059530
2005-07-01,1.403436577613570
2005-10-01,1.398030338969710
2006-01-01,1.394207962204860
2006-04-01,1.381406274099660
2006-07-01,1.370348271148700
2006-10-01,1.374059902831930
2007-01-01,1.359168895270580
2007-04-01,1.341509568404140
2007-07-01,1.326109259451660
2007-10-01,1.305803429060580
2008-01-01,1.291571689117560
2008-04-01,1.272364219222930
2008-07-01,1.258282752100970
2008-10-01,1.282790200779450
2009-01-01,1.280221228716490
2009-04-01,1.259109065695960
2009-07-01,1.234118014194390
2009-10-01,1.221433044921150
2010-01-01,1.207232670741610
2010-04-01,1.197936058010760
2010-07-01,1.189621379756020
2010-10-01,1.180394843766180
2011-01-01,1.170052949306760
2011-04-01,1.160612017874150
2011-07-01,1.152985321433430
2011-10-01,1.145785002212950
2012-01-01,1.137512146695650
2012-04-01,1.131136537246120
2012-07-01,1.125312755379070
2012-10-01,1.115517450154360
2013-01-01,1.108062010002560
2013-04-01,1.104625485343350
2013-07-01,1.097384815356660
2013-10-01,1.092848760284260
2014-01-01,1.086507142448010
2014-04-01,1.077314779068010
2014-07-01,1.073798437403380
2014-10-01,1.070585973810050
2015-01-01,1.071254823324880
2015-04-01,1.062113240420350
2015-07-01,1.053727599174810
2015-10-01,1.047672217837540
2016-01-01,1.039804898931160
2016-04-01,1.031078057871400
2016-07-01,1.021534137682420
2016-10-01,1.014125212144330
2017-01-01,1.007777630704070
2017-04-01,1.004857638950610
2017-07-01,0.997972186686265
2017-10-01,0.989551704884200
2018-01-01,0.983282476297513
2018-04-01,0.978135614017016
2018-07-01,0.973249230377736
2018-10-01,0.967907511869650
2019-01-01,0.967899749532261
2019-04-01,0.960651819631735
2019-07-01,0.955354003860887
2019-10-01,0.947667274775322
2020-01-01,0.944459592985971
2020-04-01,0.946043731527971
2020-07-01,0.943427357221091
2020-10-01,0.943257721524844
2021-01-01,0.934962587280396
2021-04-01,0.937672712373071
2021-07-01,0.941694903178295
2021-10-01,0.945284681200025
2022-01-01,0.947944489366871
2022-04-01,0.943885516712026
2022-07-01,0.943936692252106
2022-10-01,0.935827554448534
2023-01-01,0.928092720437791
2023-04-01,0.917540783932046
2023-07-01,0.906181977339348
2023-10-01,0.900074052760678
2024-01-01,0.890008134842252
2024-04-01,0.883756469475822
2024-07-01,0.880543830043479
2024-10-01,0.876298343591655
