code,quarter,status,informal_rate
ARG,2012-Q2,TOTAL,48.933
ARG,2012-Q3,EES,34.97
ARG,2012-Q3,SLF,96.836
ARG,2012-Q3,TOTAL,48.831
ARG,2012-Q4,EES,34.157
ARG,2012-Q4,SLF,97.496
ARG,2012-Q4,TOTAL,48.788
ARG,2013-Q1,EES,31.911
ARG,2013-Q1,SLF,97.07
ARG,2013-Q1,TOTAL,47.002
ARG,2013-Q2,EES,34.058
ARG,2013-Q2,SLF,97.435
ARG,2013-Q2,TOTAL,49.474
ARG,2013-Q3,EES,33.23
ARG,2013-Q3,SLF,97.48
ARG,2013-Q3,TOTAL,48.261
ARG,2013-Q4,EES,32.123
ARG,2013-Q4,SLF,97.873
ARG,2013-Q4,TOTAL,47.447
ARG,2014-Q1,EES,31.63
ARG,2014-Q1,SLF,97.809
ARG,2014-Q1,TOTAL,47.044
ARG,2014-Q2,EES,31.606
ARG,2014-Q2,SLF,98.149
ARG,2014-Q2,TOTAL,47.499
ARG,2014-Q3,EES,31.869
ARG,2014-Q3,SLF,97.037
ARG,2014-Q3,TOTAL,47.395
ARG,2014-Q4,EES,32.431
ARG,2014-Q4,SLF,97.623
ARG,2014-Q4,TOTAL,47.829
ARG,2015-Q1,EES,30.308
ARG,2015-Q1,SLF,97.433
ARG,2015-Q1,TOTAL,45.782
ARG,2015-Q2,EES,31.303
ARG,2015-Q2,SLF,96.492
ARG,2015-Q2,TOTAL,46.503
ARG,2016-Q2,EES,31.502
ARG,2016-Q2,SLF,96.779
ARG,2016-Q2,TOTAL,47.455
ARG,2016-Q3,EES,32.21
ARG,2016-Q3,SLF,97.413
ARG,2016-Q3,TOTAL,48.233
ARG,2016-Q4,EES,31.654
ARG,2016-Q4,SLF,96.617
ARG,2016-Q4,TOTAL,47.639
ARG,2017-Q1,EES,31.852
ARG,2017-Q1,SLF,96.066
ARG,2017-Q1,TOTAL,48.425
ARG,2017-Q2,EES,32.208
ARG,2017-Q2,SLF,96.593
ARG,2017-Q2,TOTAL,48.229
ARG,2017-Q3,EES,32.791
ARG,2017-Q3,SLF,97.027
ARG,2017-Q3,TOTAL,49.18
ARG,2017-Q4,EES,32.229
ARG,2017-Q4,SLF,96.533
ARG,2017-Q4,TOTAL,48.409
ARG,2018-Q1,EES,31.846
ARG,2018-Q1,SLF,96.255
ARG,2018-Q1,TOTAL,47.777
ARG,2018-Q2,EES,32.228
ARG,2018-Q2,SLF,96.324
ARG,2018-Q2,TOTAL,48.915
ARG,2018-Q3,EES,32.311
ARG,2018-Q3,SLF,96.142
ARG,2018-Q3,TOTAL,48.833
ARG,2018-Q4,EES,33.219
ARG,2018-Q4,SLF,96.73
ARG,2018-Q4,TOTAL,49.392
ARG,2019-Q1,EES,32.618
ARG,2019-Q1,SLF,97.327
ARG,2019-Q1,TOTAL,49.084
ARG,2019-Q2,EES,32.608
ARG,2019-Q2,SLF,96.494
ARG,2019-Q2,TOTAL,49.109
ARG,2019-Q3,EES,33.017
ARG,2019-Q3,SLF,96.659
ARG,2019-Q3,TOTAL,50.418
ARG,2019-Q4,EES,34.002
ARG,2019-Q4,SLF,96.194
ARG,2019-Q4,TOTAL,51.04
ARG,2020-Q1,EES,33.5
ARG,2020-Q1,SLF,96.411
ARG,2020-Q1,TOTAL,50.132
ARG,2020-Q2,EES,21.446
ARG,2020-Q2,SLF,97.138
ARG,2020-Q2,TOTAL,38.885
ARG,2020-Q3,EES,26.326
ARG,2020-Q3,SLF,97.64
ARG,2020-Q3,TOTAL,46.661
ARG,2020-Q4,EES,30.564
ARG,2020-Q4,SLF,98.869
ARG,2020-Q4,TOTAL,50.693
ARG,2021-Q1,EES,30.379
ARG,2021-Q1,SLF,98.09
ARG,2021-Q1,TOTAL,49.433
ARG,2021-Q2,EES,29.678
ARG,2021-Q2,SLF,97.011
ARG,2021-Q2,TOTAL,48.1
ARG,2021-Q3,EES,31.15
ARG,2021-Q3,SLF,97.703
ARG,2021-Q3,TOTAL,49.716
ARG,2021-Q4,EES,31.589
ARG,2021-Q4,SLF,97.202
ARG,2021-Q4,TOTAL,49.294
ARG,2022-Q1,EES,33.477
ARG,2022-Q1,SLF,97.757
ARG,2022-Q1,TOTAL,50.513
ARG,2022-Q2,EES,35.169
ARG,2022-Q2,SLF,97.426
ARG,2022-Q2,TOTAL,51.613
ARG,2022-Q3,EES,35.065
ARG,2022-Q3,SLF,98.27
ARG,2022-Q3,TOTAL,52.46
ARG,2022-Q4,EES,33.118
ARG,2022-Q4,SLF,97.772
ARG,2022-Q4,TOTAL,50.189
ARG,2023-Q1,EES,34.298
ARG,2023-Q1,SLF,97.813
ARG,2023-Q1,TOTAL,50.656
ARG,2023-Q2,EES,34.763
ARG,2023-Q2,SLF,97.604
ARG,2023-Q2,TOTAL,50.98
ARG,2023-Q3,EES,33.733
ARG,2023-Q3,SLF,97.022
ARG,2023-Q3,TOTAL,49.644
ARG,2023-Q4,EES,33.866
ARG,2023-Q4,SLF,97.153
ARG,2023-Q4,TOTAL,50.515
ARG,2024-Q1,EES,34.109
ARG,2024-Q1,SLF,97.779
ARG,2024-Q1,TOTAL,50.238
ARG,2024-Q2,EES,35.089
ARG,2024-Q2,SLF,97.72
ARG,2024-Q2,TOTAL,51.5
ARG,2024-Q3,EES,35.157
ARG,2024-Q3,SLF,98.019
ARG,2024-Q3,TOTAL,52.102
ARG,2024-Q4,EES,35.09
ARG,2024-Q4,SLF,97.701
ARG,2024-Q4,TOTAL,52.422
ARG,2025-Q1,EES,34.759
ARG,2025-Q1,SLF,97.805
ARG,2025-Q1,TOTAL,52.003
ARG,2025-Q2,EES,36.349
ARG,2025-Q2,SLF,97.373
ARG,2025-Q2,TOTAL,53.199
ARG,2025-Q3,EES,35.501
ARG,2025-Q3,SLF,97.723
ARG,2025-Q3,TOTAL,52.986
ARG,2025-Q4,EES,35.445
ARG,2025-Q4,SLF,97.485
ARG,2025-Q4,TOTAL,53.071
ARM,2014-Q1,EES,69.546
ARM,2014-Q1,SLF,91.342
ARM,2014-Q1,TOTAL,79.231
ARM,2014-Q2,EES,74.964
ARM,2014-Q2,SLF,90.821
ARM,2014-Q2,TOTAL,82.698
ARM,2014-Q3,EES,71.442
ARM,2014-Q3,SLF,89.762
ARM,2014-Q3,TOTAL,78.807
ARM,2014-Q4,EES,72.9
ARM,2014-Q4,SLF,89.545
ARM,2014-Q4,TOTAL,80.292
ARM,2015-Q1,EES,70.471
ARM,2015-Q1,SLF,89.963
ARM,2015-Q1,TOTAL,78.49
ARM,2015-Q2,EES,72.017
ARM,2015-Q2,SLF,90.402
ARM,2015-Q2,TOTAL,80.116
ARM,2015-Q3,EES,66.18
ARM,2015-Q3,SLF,91.444
ARM,2015-Q3,TOTAL,77.292
ARM,2015-Q4,EES,74.46
ARM,2015-Q4,SLF,90.22
ARM,2015-Q4,TOTAL,81.177
ARM,2016-Q1,EES,65.761
ARM,2016-Q1,SLF,86.06
ARM,2016-Q1,TOTAL,74.51
ARM,2016-Q2,EES,71.312
ARM,2016-Q2,SLF,88.356
ARM,2016-Q2,TOTAL,78.516
ARM,2016-Q3,EES,70.047
ARM,2016-Q3,SLF,86.903
ARM,2016-Q3,TOTAL,77.46
ARM,2016-Q4,EES,72.321
ARM,2016-Q4,SLF,88.323
ARM,2016-Q4,TOTAL,78.468
ARM,2017-Q1,EES,68.938
ARM,2017-Q1,SLF,87.115
ARM,2017-Q1,TOTAL,76.306
ARM,2017-Q2,EES,64.174
ARM,2017-Q2,SLF,87.072
ARM,2017-Q2,TOTAL,73.309
ARM,2017-Q3,EES,69.662
ARM,2017-Q3,SLF,90.721
ARM,2017-Q3,TOTAL,78.524
ARM,2017-Q4,EES,70.188
ARM,2017-Q4,SLF,85.926
ARM,2017-Q4,TOTAL,76.425
BFA,2025-Q2,EES,96.599
BFA,2025-Q2,SLF,95.291
BFA,2025-Q2,TOTAL,95.506
BFA,2025-Q4,EES,75.947
BFA,2025-Q4,SLF,97.214
BFA,2025-Q4,TOTAL,94.088
BGD,2016-Q3,EES,89.01
BGD,2016-Q3,SLF,97.588
BGD,2016-Q3,TOTAL,94.207
BGD,2016-Q4,EES,88.768
BGD,2016-Q4,SLF,97.723
BGD,2016-Q4,TOTAL,94.29
BGD,2017-Q1,EES,89.205
BGD,2017-Q1,SLF,97.515
BGD,2017-Q1,TOTAL,94.22
BGD,2017-Q2,EES,89.832
BGD,2017-Q2,SLF,97.774
BGD,2017-Q2,TOTAL,94.74
BGD,2022-Q1,EES,93.187
BGD,2022-Q1,SLF,80.251
BGD,2022-Q1,TOTAL,85.403
BGD,2022-Q2,EES,92.784
BGD,2022-Q2,SLF,79.644
BGD,2022-Q2,TOTAL,84.825
BGD,2022-Q3,EES,91.586
BGD,2022-Q3,SLF,79.871
BGD,2022-Q3,TOTAL,84.322
BGD,2022-Q4,EES,91.494
BGD,2022-Q4,SLF,80.984
BGD,2022-Q4,TOTAL,84.926
BGD,2023-Q1,EES,90.868
BGD,2023-Q1,SLF,80.162
BGD,2023-Q1,TOTAL,84.394
BGD,2023-Q2,EES,90.339
BGD,2023-Q2,SLF,80.694
BGD,2023-Q2,TOTAL,84.385
BGD,2023-Q3,EES,89.896
BGD,2023-Q3,SLF,80.133
BGD,2023-Q3,TOTAL,83.875
BGD,2023-Q4,EES,89.959
BGD,2023-Q4,SLF,80.189
BGD,2023-Q4,TOTAL,83.909
BGD,2024-Q1,EES,89.228
BGD,2024-Q1,SLF,79.971
BGD,2024-Q1,TOTAL,83.535
BGD,2024-Q2,EES,90.029
BGD,2024-Q2,SLF,80.104
BGD,2024-Q2,TOTAL,83.961
BGD,2024-Q3,EES,90.985
BGD,2024-Q3,SLF,80.074
BGD,2024-Q3,TOTAL,84.22
BGD,2024-Q4,EES,90.762
BGD,2024-Q4,SLF,80.73
BGD,2024-Q4,TOTAL,84.445
BIH,2020-Q1,EES,5.542
BIH,2020-Q1,SLF,55.941
BIH,2020-Q1,TOTAL,14.076
BIH,2020-Q2,EES,5.091
BIH,2020-Q2,SLF,58.243
BIH,2020-Q2,TOTAL,14.561
BIH,2020-Q3,EES,4.988
BIH,2020-Q3,SLF,49.282
BIH,2020-Q3,TOTAL,14.043
BIH,2020-Q4,EES,5.422
BIH,2020-Q4,SLF,50.189
BIH,2020-Q4,TOTAL,13.659
BIH,2021-Q1,EES,4.728
BIH,2021-Q1,SLF,68.345
BIH,2021-Q1,TOTAL,17.728
BIH,2021-Q2,EES,5.892
BIH,2021-Q2,SLF,71.063
BIH,2021-Q2,TOTAL,21.276
BIH,2021-Q3,EES,5.945
BIH,2021-Q3,SLF,69.191
BIH,2021-Q3,TOTAL,21.372
BIH,2021-Q4,EES,4.629
BIH,2021-Q4,SLF,65.339
BIH,2021-Q4,TOTAL,17.454
BIH,2022-Q1,EES,4.315
BIH,2022-Q1,SLF,69.337
BIH,2022-Q1,TOTAL,17.639
BIH,2022-Q2,EES,4.399
BIH,2022-Q2,SLF,72.943
