code,year,informal_rate
ZAF,2024,34.815
ZMB,2017,83.924
ZMB,2018,82.958
ZMB,2019,83.768
ZMB,2020,84.28
ZMB,2021,85.466
ZMB,2022,85.066
ZMB,2023,82.775
ZMB,2024,82.732
ZWE,2011,85.619
ZWE,2014,86.944
ZWE,2019,88.018
ZWE,2021,88.426
ZWE,2022,88.163
ZWE,2023,87.998
ZWE,2024,85.003
