date,h1,h12,h3
1960-07-01,0.608539363399879,0.852833443092563,0.734475605734578
1960-08-01,0.61558259224535,0.854722353884132,0.739198844057568
1960-09-01,0.622419197323139,0.859761049627885,0.745574242741275
1960-10-01,0.634094791797876,0.865587701487292,0.75645370030697
1960-11-01,0.66323767529909,0.874468704615413,0.778879135285855
1960-12-01,0.679685030347581,0.883899756668996,0.794388819862048
1961-01-01,0.669580684625673,0.887789954605771,0.792143495750602
1961-02-01,0.664758526200861,0.890574013982523,0.79075333739577
1961-03-01,0.664806043683494,0.889545813770254,0.790025481269212
1961-04-01,0.667936584500615,0.884380627429569,0.787675812785837
1961-05-01,0.651483944376801,0.880046718571413,0.775685743062842
1961-06-01,0.63861894056314,0.877122537630347,0.766635860247905
1961-07-01,0.625611454469322,0.87362631597711,0.757170082570417
1961-08-01,0.621054242810982,0.871380641294351,0.753301111946114
1961-09-01,0.621698486449026,0.86664459853501,0.750749441174528
1961-10-01,0.619804794416667,0.861224391622309,0.746938303327119
1961-11-01,0.609824863431059,0.854820557830975,0.738138324009621
1961-12-01,0.600034658464686,0.851230411481868,0.730724070478424
1962-01-01,0.605320152966095,0.851182868019361,0.735523159762961
1962-02-01,0.603417406571441,0.849829931523383,0.735693227186983
1962-03-01,0.590657334089019,0.845881899430205,0.725548470220144
1962-04-01,0.590947606329028,0.842867552231169,0.724086735341737
1962-05-01,0.588395553781168,0.841257684525358,0.721393590408819
1962-06-01,0.58309511074681,0.838443945145554,0.716258856484694
1962-07-01,0.573006544068332,0.83307725947954,0.705441764771728
1962-08-01,0.561994205842826,0.82700234023446,0.695208872613952
1962-09-01,0.557006962524883,0.82130685002677,0.690018550996045
1962-10-01,0.554882023474494,0.816425785563071,0.685973611239661
1962-11-01,0.555041362635224,0.811216363888644,0.682755222520158
1962-12-01,0.553517800271604,0.806300714791587,0.678141675265125
1963-01-01,0.552454466662815,0.802013417454858,0.673759836576993
1963-02-01,0.543660310516535,0.797341803141905,0.664838694920184
1963-03-01,0.533692989784291,0.79473688642922,0.656998610074812
1963-04-01,0.539420900150614,0.79603273633575,0.660927074639645
1963-05-01,0.536277955658912,0.795424551426007,0.658378532045151
1963-06-01,0.534247486229517,0.795332031790613,0.656735960797332
1963-07-01,0.532421740323106,0.7957942602271,0.655624405177717
1963-08-01,0.533439996295174,0.797590588820957,0.657946976095946
1963-09-01,0.532925549343366,0.797184136327287,0.658282033438499
1963-10-01,0.530681035060623,0.796171400646375,0.656817329017604
1963-11-01,0.53721312913376,0.79709312313852,0.662030411967015
1963-12-01,0.547518951959954,0.79747693447626,0.667801808507947
1964-01-01,0.554857909661533,0.797781907552639,0.671387371460701
1964-02-01,0.549310760182397,0.795397944592391,0.666255452931245
1964-03-01,0.539557180860924,0.792833323977146,0.657778362292918
1964-04-01,0.545124334247912,0.793005789829212,0.66003835632029
1964-05-01,0.530345195060536,0.792281119788171,0.651274626342513
1964-06-01,0.528375294267208,0.795955657655504,0.652741690889859
1964-07-01,0.535947239757966,0.803048520933296,0.662495496320141
1964-08-01,0.552641335450009,0.810586822489851,0.678203926794517
1964-09-01,0.582314640715299,0.82082278131339,0.704233989864156
1964-10-01,0.62878925115583,0.833223445848032,0.741155552056281
1964-11-01,0.641924785409325,0.839089615116009,0.753950415123052
1964-12-01,0.608480688579643,0.828208594951061,0.726410848071138
1965-01-01,0.582372129542591,0.819054058807759,0.704691084606247
1965-02-01,0.563135317669629,0.812175227878041,0.688664973325713
1965-03-01,0.552414743493228,0.807631623318191,0.679160778340224
1965-04-01,0.548572010262873,0.80472941790258,0.675009609438746
1965-05-01,0.542711620948441,0.802330884311166,0.670228412609554
1965-06-01,0.544004623283904,0.803289650797255,0.672630581509087
1965-07-01,0.550134739528044,0.80511979652554,0.676913602552885
1965-08-01,0.547204685220166,0.803887373534711,0.672615705030179
1965-09-01,0.556029378833189,0.805215427780438,0.676414288480948
1965-10-01,0.550117741463361,0.805598115690101,0.673425353559369
1965-11-01,0.547712210180159,0.808332766113868,0.674458617732004
1965-12-01,0.557602492060294,0.815372941258838,0.685460245299773
1966-01-01,0.562351187436737,0.817782906893107,0.690712560313544
1966-02-01,0.571212473370408,0.823314485474778,0.699352499439167
1966-03-01,0.580404095918954,0.828385606211002,0.707482706062941
1966-04-01,0.589352969272077,0.83244506628237,0.714935078411709
1966-05-01,0.596667074674905,0.83661553458242,0.721439232191497
1966-06-01,0.592584829597689,0.837506403845008,0.718464488239274
1966-07-01,0.59255758029605,0.838472015495613,0.718631677273169
1966-08-01,0.597787002978004,0.841247253948852,0.722818603601503
1966-09-01,0.602490286146786,0.84490066135845,0.726989162356465
1966-10-01,0.600182933111269,0.84429068503477,0.724802511076811
1966-11-01,0.604556333988132,0.84604154718701,0.728819070781439
1966-12-01,0.606783111322241,0.848884206821497,0.731996136491015
1967-01-01,0.613793973691304,0.851830833096781,0.738457330476724
1967-02-01,0.612094879215569,0.853288966692034,0.737168206736896
1967-03-01,0.602148528691219,0.850092554690012,0.727590762242363
1967-04-01,0.600984157922576,0.848112102866164,0.724636369441603
1967-05-01,0.598125072528013,0.848895429365519,0.723665604449353
1967-06-01,0.599526299561393,0.853981324656911,0.728683985491301
1967-07-01,0.608371665888406,0.860335478347001,0.737947291342895
1967-08-01,0.621004065776359,0.863027283693829,0.746722934098662
1967-09-01,0.618968339994739,0.863582018529741,0.746185211493383
