date,epu
1996-01-01,200.40365600585938
1996-02-01,121.81696319580078
1996-03-01,174.65145874023438
1996-04-01,103.5821304321289
1996-05-01,125.61516571044922
1996-06-01,94.26124572753906
1996-07-01,152.31373596191406
1996-08-01,60.999881744384766
1996-09-01,116.92176055908203
1996-10-01,156.24203491210938
1996-11-01,113.20693969726562
1996-12-01,148.79132080078125
1997-01-01,134.02952125475534
1997-02-01,122.48234145607518
1997-03-01,121.9279020841433
1997-04-01,134.97436169349714
1997-05-01,140.78943443069718
1997-06-01,161.43671729370172
1997-07-01,99.96890430953691
1997-08-01,125.02440395043098
1997-09-01,108.42225937066384
1997-10-01,117.74490846469166
1997-11-01,136.49181065956515
1997-12-01,178.8007569179951
1998-01-01,121.22559492936571
1998-02-01,131.54298045793985
1998-03-01,231.23565527240063
1998-04-01,163.48180223382704
1998-05-01,197.5841763175742
1998-06-01,216.05431289792895
1998-07-01,232.26492008624535
1998-08-01,258.4811245721537
1998-09-01,428.160888881888
1998-10-01,235.49982373780395
1998-11-01,241.93222094815798
1998-12-01,262.05662218279775
1999-01-01,250.44801147828767
1999-02-01,118.95974459697459
1999-03-01,103.17930848910049
1999-04-01,146.26162911096196
1999-05-01,98.19577008512739
1999-06-01,138.15171561330263
1999-07-01,119.38518060090826
1999-08-01,170.24945719317915
1999-09-01,250.08889776692135
1999-10-01,154.5662495540006
1999-11-01,125.08417548307345
1999-12-01,160.17131029398374
2000-01-01,161.02013423197275
2000-02-01,157.84092026218258
2000-03-01,90.80582313502407
2000-04-01,93.59448738033126
2000-05-01,136.35006115512172
2000-06-01,216.03891949007564
2000-07-01,125.40429876563192
2000-08-01,89.63743155773777
2000-09-01,89.93564029822309
2000-10-01,117.68753634638054
2000-11-01,172.7514844496277
2000-12-01,95.6620515016658
2001-01-01,161.43063557705847
2001-02-01,92.36227883120986
2001-03-01,93.74991524019983
2001-04-01,113.58339146921566
2001-05-01,153.34516535826927
2001-06-01,86.54521800783598
2001-07-01,88.25765094692737
2001-08-01,105.16073381946545
2001-09-01,333.24824993527386
2001-10-01,328.67236051395093
2001-11-01,198.3217808812801
2001-12-01,231.98385022352767
2002-01-01,225.66810354847067
2002-02-01,119.25466810208547
2002-03-01,109.82916098909126
2002-04-01,107.71403570831207
2002-05-01,110.91159183323767
2002-06-01,113.86771833740474
2002-07-01,184.69084309166203
2002-08-01,215.44584328052375
2002-09-01,208.54938333594822
2002-10-01,177.29067032461793
