serie,edicion,periodo,valor
B1GQ_Q,199906,1997-Q3,1401578000000
B1GQ_Q,199906,1997-Q4,1411660000000
B1GQ_Q,199906,1998-Q1,1420136000000
B1GQ_Q,199906,1998-Q2,1453795000000
B1GQ_Q,199906,1998-Q3,1471024000000
B1GQ_Q,199906,1998-Q4,1447765000000
B1GQ_Q,199907,1993-Q1,1250399000000
B1GQ_Q,199907,1993-Q2,1246895000000
B1GQ_Q,199907,1993-Q3,1261667000000
B1GQ_Q,199907,1993-Q4,1265846000000
B1GQ_Q,199907,1994-Q1,1286243000000
B1GQ_Q,199907,1994-Q2,1311989000000
B1GQ_Q,199907,1994-Q3,1319654000000
B1GQ_Q,199907,1994-Q4,1330361000000
B1GQ_Q,199907,1995-Q1,1268600000000
B1GQ_Q,199907,1995-Q2,1203642000000
B1GQ_Q,199907,1995-Q3,1213547000000
B1GQ_Q,199907,1995-Q4,1235509000000
B1GQ_Q,199907,1996-Q1,1268753000000
B1GQ_Q,199907,1996-Q2,1283483000000
B1GQ_Q,199907,1996-Q3,1299456000000
B1GQ_Q,199907,1996-Q4,1322705000000
B1GQ_Q,199907,1997-Q1,1348388000000
B1GQ_Q,199907,1997-Q2,1369521000000
B1GQ_Q,199907,1997-Q3,1395563000000
B1GQ_Q,199907,1997-Q4,1410675000000
B1GQ_Q,199907,1998-Q1,1427768000000
B1GQ_Q,199907,1998-Q2,1452883000000
B1GQ_Q,199907,1998-Q3,1463856000000
B1GQ_Q,199907,1998-Q4,1447765000000
B1GQ_Q,199907,1999-Q1,1460765000000
B1GQ_Q,199908,1993-Q1,1250399000000
B1GQ_Q,199908,1993-Q2,1246895000000
B1GQ_Q,199908,1993-Q3,1261667000000
B1GQ_Q,199908,1993-Q4,1265846000000
B1GQ_Q,199908,1994-Q1,1286243000000
B1GQ_Q,199908,1994-Q2,1311989000000
B1GQ_Q,199908,1994-Q3,1319654000000
B1GQ_Q,199908,1994-Q4,1330361000000
B1GQ_Q,199908,1995-Q1,1268600000000
B1GQ_Q,199908,1995-Q2,1203642000000
B1GQ_Q,199908,1995-Q3,1213547000000
B1GQ_Q,199908,1995-Q4,1235509000000
B1GQ_Q,199908,1996-Q1,1268753000000
B1GQ_Q,199908,1996-Q2,1283483000000
B1GQ_Q,199908,1996-Q3,1299456000000
B1GQ_Q,199908,1996-Q4,1322705000000
B1GQ_Q,199908,1997-Q1,1348388000000
B1GQ_Q,199908,1997-Q2,1369521000000
B1GQ_Q,199908,1997-Q3,1395563000000
B1GQ_Q,199908,1997-Q4,1410675000000
B1GQ_Q,199908,1998-Q1,1427768000000
B1GQ_Q,199908,1998-Q2,1452883000000
B1GQ_Q,199908,1998-Q3,1463856000000
B1GQ_Q,199908,1998-Q4,1447765000000
B1GQ_Q,199908,1999-Q1,1460765000000
B1GQ_Q,199909,1993-Q1,1250399000000
B1GQ_Q,199909,1993-Q2,1246895000000
B1GQ_Q,199909,1993-Q3,1261667000000
B1GQ_Q,199909,1993-Q4,1265846000000
B1GQ_Q,199909,1994-Q1,1286243000000
B1GQ_Q,199909,1994-Q2,1311989000000
B1GQ_Q,199909,1994-Q3,1319654000000
B1GQ_Q,199909,1994-Q4,1330361000000
B1GQ_Q,199909,1995-Q1,1268600000000
B1GQ_Q,199909,1995-Q2,1203642000000
B1GQ_Q,199909,1995-Q3,1213547000000
B1GQ_Q,199909,1995-Q4,1235509000000
B1GQ_Q,199909,1996-Q1,1268753000000
B1GQ_Q,199909,1996-Q2,1283483000000
B1GQ_Q,199909,1996-Q3,1299456000000
B1GQ_Q,199909,1996-Q4,1322705000000
B1GQ_Q,199909,1997-Q1,1348388000000
B1GQ_Q,199909,1997-Q2,1369521000000
B1GQ_Q,199909,1997-Q3,1395563000000
B1GQ_Q,199909,1997-Q4,1410675000000
B1GQ_Q,199909,1998-Q1,1427768000000
B1GQ_Q,199909,1998-Q2,1452883000000
B1GQ_Q,199909,1998-Q3,1463856000000
B1GQ_Q,199909,1998-Q4,1447765000000
