date,rr_exog,mtr_u,mtr_a
1982Q3,0.0,0.0,0.78
1982Q4,0.0,0.0,0.0
1983Q1,-0.913417,0.0,0.0
1983Q2,0.0,0.0,1.12
1983Q3,0.0,0.0,0.0
1983Q4,0.0,0.0,0.0
1984Q1,-0.629987,0.0,0.0
1984Q2,0.0,0.0,0.0
1984Q3,0.201096,0.201096,0.0
1984Q4,0.0,0.0,0.0
1985Q1,0.213618,0.0,0.0
1985Q2,0.0,0.0,0.0
1985Q3,0.0,0.0,0.0
1985Q4,0.0,0.0,0.0
1986Q1,0.095768,0.0,0.0
1986Q2,0.0,0.0,0.0
1986Q3,0.0,0.0,0.0
1986Q4,0.499329,0.499329,0.27
1987Q1,-0.156054,-0.16,0.0
1987Q2,0.0,0.0,0.0
1987Q3,-0.419481,0.0,0.0
1987Q4,0.0,0.0,0.0
1988Q1,0.385711,0.218103,0.0
1988Q2,0.0,0.0,0.0
1988Q3,0.0,0.0,0.0
1988Q4,0.0,0.0,0.0
1989Q1,0.0,0.0,0.0
1989Q2,0.0,0.0,0.0
1989Q3,0.0,0.0,0.0
1989Q4,0.0,0.0,0.0
1990Q1,0.180183,0.0,0.0
1990Q2,0.0,0.0,0.0
1990Q3,0.0,0.0,0.0
1990Q4,0.0,0.0,0.0
1991Q1,0.597826,0.597826,0.0
1991Q2,0.0,0.0,0.0
1991Q3,0.0,0.0,0.0
1991Q4,0.0,0.0,0.0
1992Q1,0.0,0.0,0.0
1992Q2,0.0,0.0,0.0
1992Q3,0.0,0.0,0.0
1992Q4,0.0,0.0,0.0
1993Q1,0.0,0.0,0.0
1993Q2,0.0,0.0,0.0
1993Q3,0.341594,1.024781,0.19
1993Q4,0.077939,-0.59263,0.0
1994Q1,0.193894,0.0,0.0
1994Q2,0.0,0.0,0.0
1994Q3,0.0,0.0,0.0
1994Q4,0.0,0.0,0.0
1995Q1,0.0,0.0,0.0
1995Q2,0.0,0.0,0.0
1995Q3,0.0,0.0,0.0
1995Q4,0.0,0.0,0.0
1996Q1,0.0,0.0,0.0
1996Q2,0.0,0.0,0.0
1996Q3,0.0,0.0,0.0
1996Q4,0.0,0.0,0.0
1997Q1,0.0,0.0,0.0
1997Q2,0.0,0.0,0.0
1997Q3,0.0,0.0,0.03
1997Q4,0.0,0.0,0.0
1998Q1,0.0,0.0,0.0
1998Q2,0.0,0.0,0.0
1998Q3,0.0,0.0,0.0
1998Q4,0.0,0.0,0.0
1999Q1,0.0,0.0,0.0
1999Q2,0.0,0.0,0.0
1999Q3,0.0,0.0,0.0
1999Q4,0.0,0.0,0.0
2000Q1,0.017654,0.0,0.0
2000Q2,0.0,0.0,0.0
2000Q3,0.0,0.0,0.0
2000Q4,0.0,0.0,0.0
2001Q1,0.0,0.0,0.0
2001Q2,0.0,0.0,-0.8
2001Q3,0.0,0.0,0.0
2001Q4,0.0,0.0,0.0
2002Q1,-0.797422,0.0,0.0
2002Q2,0.0,0.0,0.0
2002Q3,0.0,0.0,0.0
2002Q4,0.0,0.0,0.0
2003Q1,0.0,0.0,0.0
2003Q2,0.0,0.0,2.26
2003Q3,-1.140167,-2.857633,0.0
2003Q4,0.0,0.0,0.0
2004Q1,0.0,0.0,0.0
2004Q2,0.0,0.0,0.0
2004Q3,0.0,0.0,0.0
2004Q4,0.0,0.0,0.0
2005Q1,0.560309,0.0,0.0
2005Q2,0.0,0.0,0.0
2005Q3,0.0,0.0,0.0
2005Q4,0.0,0.0,0.0
2006Q1,0.0,0.0,0.0
2006Q2,0.0,0.0,0.0
2006Q3,0.0,0.0,0.0
2006Q4,0.0,0.0,0.0
2007Q1,0.0,0.0,0.0
2007Q2,0.0,0.0,0.0
2007Q3,0.0,0.0,0.0
2007Q4,0.0,0.0,0.0
