code,periodo,valor,variable,price_base
ARG,2009-Q2,147725.6,gdp_vol,Q
ARG,2009-Q3,153508.9,gdp_vol,Q
ARG,2009-Q4,156453.5,gdp_vol,Q
ARG,2010-Q1,161225.5,gdp_vol,Q
ARG,2010-Q2,168426.1,gdp_vol,Q
ARG,2010-Q3,169299.0,gdp_vol,Q
ARG,2010-Q4,171573.1,gdp_vol,Q
ARG,2011-Q1,175678.8,gdp_vol,Q
ARG,2011-Q2,177438.0,gdp_vol,Q
ARG,2011-Q3,178838.1,gdp_vol,Q
ARG,2011-Q4,178826.6,gdp_vol,Q
ARG,2012-Q1,176997.1,gdp_vol,Q
ARG,2012-Q2,170996.4,gdp_vol,Q
ARG,2012-Q3,176277.5,gdp_vol,Q
ARG,2012-Q4,179215.1,gdp_vol,Q
ARG,2013-Q1,179239.7,gdp_vol,Q
ARG,2013-Q2,180322.6,gdp_vol,Q
ARG,2013-Q3,181307.2,gdp_vol,Q
ARG,2013-Q4,179537.6,gdp_vol,Q
ARG,2014-Q1,176901.2,gdp_vol,Q
ARG,2014-Q2,175822.1,gdp_vol,Q
ARG,2014-Q3,174306.6,gdp_vol,Q
ARG,2014-Q4,175276.2,gdp_vol,Q
ARG,2015-Q1,177850.4,gdp_vol,Q
ARG,2015-Q2,181941.9,gdp_vol,Q
ARG,2015-Q3,181873.6,gdp_vol,Q
ARG,2015-Q4,179821.3,gdp_vol,Q
ARG,2016-Q1,178177.7,gdp_vol,Q
ARG,2016-Q2,175317.0,gdp_vol,Q
ARG,2016-Q3,175956.3,gdp_vol,Q
ARG,2016-Q4,177026.9,gdp_vol,Q
ARG,2017-Q1,178500.2,gdp_vol,Q
ARG,2017-Q2,180551.7,gdp_vol,Q
ARG,2017-Q3,182755.7,gdp_vol,Q
ARG,2017-Q4,184582.4,gdp_vol,Q
ARG,2018-Q1,183817.3,gdp_vol,Q
ARG,2018-Q2,175698.5,gdp_vol,Q
ARG,2018-Q3,175146.3,gdp_vol,Q
ARG,2018-Q4,172715.3,gdp_vol,Q
ARG,2019-Q1,172748.1,gdp_vol,Q
ARG,2019-Q2,174430.4,gdp_vol,Q
ARG,2019-Q3,174311.4,gdp_vol,Q
ARG,2019-Q4,171733.9,gdp_vol,Q
