code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl
ARG,2008-07-01,296467.2,183070.6,40534.6,55596.8,57744.3,71201.3,54509.0,17788.501233805775,,31619.236713781305,191.0481882227886,,,,,180.2405337412347,168.04409685887904,230.9361166342873,165.68017713303158,169.13858585249704,172.8883482179713,151.19004362984802,133.4181451847248,,195.5311118032333,143.72100377386369,,,,
ARG,2008-10-01,294349.5,188322.8,43225.9,52852.0,54344.0,58446.6,49823.1,16560.93543578385,,30374.022707227698,193.76487525008704,,,,,187.65252571102164,175.50497001958934,246.42639287159872,176.37440014950377,190.5655389892975,161.97731908478184,153.26459106863254,140.2168199549627,,203.30681118314465,147.8167548663924,,,,
ARG,2009-01-01,291024.6,186573.5,45754.4,44959.1,42859.7,57912.7,42559.1,14088.85457850916,,27197.140818214382,211.2962171083467,,,,,192.4958114203204,182.9860583265088,257.98201347579715,173.39244323944914,175.90292168359628,161.91521305773708,148.21156812966,140.58042535397837,,209.59069562513764,160.18219703209795,,,,
ARG,2009-04-01,298046.1,185433.2,48215.7,44823.6,43962.9,59733.6,41387.9,13989.438913807027,,26773.989030602268,217.4086350645948,,,,,201.7565675820575,187.6761172775844,268.0973510375659,183.09546178669171,202.47621771671223,174.86570432410122,153.17845696055426,149.49746064102817,,214.11550599645537,162.05872847984136,,,,
ARG,2009-07-01,317608.8,201589.3,50703.0,49883.4,52746.5,60604.9,45967.4,15372.221888406391,,29711.23597069684,237.35341253371328,,,,,206.89927424403407,188.77117116442224,271.1027937441518,193.0038923151924,194.5980768359066,190.365339975688,158.58702252152793,152.11539468145153,,222.00330314516896,180.8431252011698,,,,
ARG,2009-10-01,341249.8,212326.7,53796.3,54783.2,60762.5,65856.1,50987.2,16237.651843849337,,32561.4212777778,242.94065062035725,,,,,218.11579798470473,202.28179083091825,282.1316565099277,200.0810796004456,206.41019158833092,191.36260217409625,160.5946643988787,154.85514022035267,,229.59731992380136,189.24014069981533,,,,
ARG,2010-01-01,370418.3,238424.7,56300.8,58755.1,62920.2,69878.2,56958.9,17839.22349737599,,35412.34176344051,275.50565846646543,,,,,229.75168320147867,218.05189353512017,295.86530174678916,198.64460071674893,200.376628474536,197.10762217997393,163.66794534718332,158.79005885857717,,242.7650905418426,219.73534795398317,,,,
ARG,2010-04-01,401486.7,256006.8,60531.4,66201.5,70310.4,76697.1,64894.4,20522.614749165004,,38926.79660918778,303.0158890457341,,,,,238.3755843067078,224.1878223708984,312.404004954583,205.23205887732547,209.20448321770144,188.7129633730458,166.1539091784273,159.0752177471001,,253.30495289888515,248.3651336662669,,,,
ARG,2010-07-01,429090.9,273314.4,64704.4,72205.7,78645.9,81939.5,69116.6,22713.673238001586,,41212.66980846143,322.48059859588716,,,,,253.4515265890525,236.13046363108572,338.11327853518594,215.9003109675876,225.0825133892199,201.8020436460537,170.8345897741373,164.82901199155606,,263.55394976870906,266.57164017358434,,,,
ARG,2010-10-01,460725.0,299645.9,70442.1,79372.3,82340.1,86112.5,75523.5,25097.739478875348,,42898.1762480803,353.4828473582252,,,,,268.5298569531004,250.9767413032208,353.00476071160114,223.1640181292666,228.4372396752433,224.22794500572857,175.0056192923631,166.450901249222,,273.5797538184647,302.31685046343915,,,,
ARG,2011-01-01,493992.1,316863.6,76430.1,85642.8,90763.5,94039.1,81551.5,27215.167953046486,,50068.44651518852,372.4097433286618,,,,,281.19050221199143,258.069024494533,383.74110688805104,228.53254561028524,229.48684210501284,238.41711224523428,178.90574440312832,165.2051794733191,,301.09637209542024,298.21988767270267,,,,
ARG,2011-04-01,533339.7,337062.0,82220.3,91109.2,104579.9,97313.5,90100.5,28279.658221051028,,52174.20004985486,384.8750745566318,,,,,300.5780610692185,272.45435410287666,405.7756940160395,237.64414361542575,254.841718384598,246.58365577338736,188.26357590156024,172.21222717796937,,316.77512392007554,320.94961361458195,,,,
ARG,2011-07-01,563333.0,363354.4,89123.7,98056.6,102212.5,103533.6,97734.6,29366.453490133063,,56030.32347310396,396.265672476568,,,,,314.9960774577677,285.79864948303594,435.5571302902942,248.46849312291585,252.8319940944771,251.2183167283792,195.9850326058185,176.65990887295098,,330.0017991907455,327.97716050092237,,,,
ARG,2011-10-01,588359.3,382096.3,94092.1,101035.7,103351.0,107126.5,95751.2,29672.74870959453,,58281.76425642897,412.01105101419586,,,,,329.0110643494872,298.4777565129086,461.38731838397905,263.7587747121216,276.1506922963064,258.65719859765693,196.01184858863004,180.89789327556608,,344.45982239549227,338.05456176075876,,,,
ARG,2012-01-01,613027.2,391476.9,100811.1,97743.4,105805.2,110439.0,89885.8,28131.52482762456,,59212.11599655881,421.6341859988599,,,,,346.3487254875927,314.9685254258561,489.3813987582343,269.33976302011575,282.1992927336649,266.3735341363525,193.2084767221163,185.6743027927444,,358.85754629188517,342.6664631607188,,,,
