date,p_UE,p_EU
1990-02-01,0.31881481481481483,0.015312122026609325
1990-03-01,0.2953827643254625,0.014818423904369084
1990-04-01,0.2730028800970138,0.015715064815203256
1990-05-01,0.28417954378219284,0.014104301138610944
1990-06-01,0.28857566765578635,0.014866112650046169
1990-07-01,0.27595628415300544,0.01631915251387254
1990-08-01,0.2803468208092486,0.015800727321705167
1990-09-01,0.24544316126339222,0.014749461206896552
1990-10-01,0.2754547922888949,0.016049955698071813
1990-11-01,0.26485181708461847,0.017163398251594828
1990-12-01,0.2528661599896947,0.01584268903016367
1991-01-01,0.2551898734177215,0.016731234457207624
1991-02-01,0.25502434153039566,0.01767719607776609
1991-03-01,0.2530557908749848,0.018091630285219224
1991-04-01,0.27268491555037855,0.016627845690871685
1991-05-01,0.23453424982223278,0.017588280125328138
1991-06-01,0.2517458500286205,0.016257739245961113
1991-07-01,0.236681624669198,0.016553307260669958
1991-08-01,0.25026214610276126,0.017382943784087328
1991-09-01,0.2593490304709141,0.016677308134337886
1991-10-01,0.24194473110881778,0.017123374805994455
1991-11-01,0.24013120687705009,0.016428795815963525
1991-12-01,0.2167973124300112,0.01677253889530539
1992-01-01,0.2637016093953893,0.01830753248522625
1992-02-01,0.22021116138763197,0.017252488258134527
1992-03-01,0.22395006876123985,0.015059371124738818
1992-04-01,0.23057405645417067,0.016211502971403415
1992-05-01,0.22955173146377736,0.017127365780739316
1992-06-01,0.22754798316740224,0.01737962266701589
1992-07-01,0.22932031094279448,0.01639205745669624
1992-08-01,0.2221770917952884,0.01642880010784033
1992-09-01,0.2290240163515585,0.017566157161133928
1992-10-01,0.23149284253578734,0.016200232515037657
1992-11-01,0.23965095243162712,0.016811540439595648
1992-12-01,0.23494353826850692,0.016986942182136366
1993-01-01,0.228152799581371,0.015280777991645164
1993-02-01,0.2254397254397254,0.015984208979043298
1993-03-01,0.23752994990198212,0.01618367210035554
1993-04-01,0.236223081170624,0.01584632246513223
1993-05-01,0.24338566253156219,0.015863847171296065
1993-06-01,0.23163533012680365,0.015587529976019185
1993-07-01,0.24594298245614035,0.016005520865379017
1993-08-01,0.23619666256019714,0.015002324654622742
1993-09-01,0.23088335996347867,0.015326558310437286
1993-10-01,0.24274073223918285,0.015364959264605838
1993-11-01,0.2472565157750343,0.0149581139697361
1993-12-01,0.25901639344262295,0.01594717292612464
1994-01-01,0.25616519174041297,0.015513195273580633
1994-02-01,0.25591098748261476,0.015564138519192765
1994-03-01,0.25565136331857374,0.015171995707275511
1994-04-01,0.2596528515763372,0.015568734568660744
1994-05-01,0.270020410613519,0.01452511225065633
1994-06-01,0.25767723998483505,0.015263136472790914
1994-07-01,0.27015772870662463,0.015577340271094656
1994-08-01,0.27841409691629954,0.015062720581642717
1994-09-01,0.273071104387292,0.014457968100030003
1994-10-01,0.2603129445234708,0.01298638289614128
1994-11-01,0.27663477919014545,0.014432723844213615
1994-12-01,0.3030919446704638,0.014996345293460887
1995-01-01,0.2854769486363007,0.01580396343176364
1995-02-01,0.2827502034174125,0.013638952849337707
1995-03-01,0.2844419704981909,0.01464265985637544
1995-04-01,0.2809004474272931,0.014991675737977843
1995-05-01,0.2662218733647305,0.014280568341004602
1995-06-01,0.2793484114162628,0.015039951126187685
1995-07-01,0.2774037166711554,0.014618121651687108
1995-08-01,0.28996677740863785,0.015304855084657483
1995-09-01,0.27555793131097156,0.01518028085522258
1995-10-01,0.28861842985154473,0.014842582305595741
1995-11-01,0.26876876876876876,0.014341663409614817
1995-12-01,0.25575757575757574,0.013238102085979756
1996-01-01,0.27422180299151055,0.014928476048071774
1996-02-01,0.27289719626168224,0.013404740018384556
1996-03-01,0.27653172866520787,0.013946934778974518
1996-04-01,0.26827934946016124,0.013906326981452933
1996-05-01,0.2689506339357971,0.014185354236951775
1996-06-01,0.27472379412557263,0.013895931043224743
1996-07-01,0.28291513955455316,0.013943420522503022
1996-08-01,0.2894342194955692,0.012873541484475328
1996-09-01,0.28720930232558145,0.014093368566754751
1996-10-01,0.291529310591945,0.01306502713384987
1996-11-01,0.2769559032716927,0.014459998435911474
1996-12-01,0.26744989633724947,0.012555674710961164
1997-01-01,0.3015719801434087,0.014572903629536919
1997-02-01,0.28978622327790976,0.013946164220176334
1997-03-01,0.2895774647887324,0.012862688847658992
1997-04-01,0.2823260465780826,0.013377614997827301
1997-05-01,0.2984575087310826,0.012693323420304672
1997-06-01,0.299068229636309,0.014407774790643058
1997-07-01,0.3084730803177405,0.013022342785158394
1997-08-01,0.2722080264542312,0.012156977550422953
1997-09-01,0.2778870894505827,0.012823964736020184
1997-10-01,0.2934635612321563,0.013007892429114295
1997-11-01,0.2944823310601364,0.012261925798446517
1997-12-01,0.31668252457976537,0.014391463106565722
1998-01-01,0.2928637627432808,0.012898336612138982
1998-02-01,0.3068949269671745,0.013388826832739124
1998-03-01,0.2975416336241079,0.013617561378424462
1998-04-01,0.3208722741433022,0.012125845789212128
1998-05-01,0.29617780771173596,0.012623009551105657
1998-06-01,0.31293417135296064,0.012649840829817375
1998-07-01,0.3032206119162641,0.01325214899713467
1998-08-01,0.3101629913710451,0.01282471117745166
1998-09-01,0.31439209972478555,0.013382050696506052
1998-10-01,0.3044927766312113,0.012760862646439235
1998-11-01,0.309174896463842,0.012448950211776116
1998-12-01,0.308575176258403,0.013239074550128535
1999-01-01,0.3093262529040823,0.011898200925583398
1999-02-01,0.31347280334728034,0.013052533439598198
1999-03-01,0.3337698477655917,0.011978978436332973
1999-04-01,0.28685121107266437,0.012655846745370682
1999-05-01,0.31106297900699764,0.012675463011720102
1999-06-01,0.31521739130434784,0.012469145991042022
1999-07-01,0.3106404437720625,0.012082077127300545
1999-08-01,0.3227627428191931,0.012017392608141539
1999-09-01,0.3205962988348183,0.011434005496110042
1999-10-01,0.30892796753466356,0.0120654962711408
1999-11-01,0.344988748485373,0.012039829218045563
1999-12-01,0.3401574803149606,0.01206407363553093
2000-01-01,0.35474168435951875,0.01199973234797737
2000-02-01,0.31265334735366285,0.012290609183531464
2000-03-01,0.3232030049513403,0.012051721360687667
2000-04-01,0.33850985866340955,0.011208662569505414
2000-05-01,0.3029749954371236,0.012298724954462659
2000-06-01,0.32140375260597637,0.011691154400837487
2000-07-01,0.33404142326075414,0.012788489628980427
2000-08-01,0.3187119234116623,0.012586172792474669
2000-09-01,0.3204580413604512,0.012024209424696834
2000-10-01,0.3351706970128023,0.011317060340607716
2000-11-01,0.308985716868559,0.010539992116903403
2000-12-01,0.30150842945874,0.010726752024018597
2001-01-01,0.3167051304810935,0.012776812773905648
2001-02-01,0.3041023085866135,0.012551086333180892
2001-03-01,0.3108263512403483,0.01295142850913214
2001-04-01,0.3027687296416938,0.013262291392939845
2001-05-01,0.3244536608709523,0.013184924022785878
2001-06-01,0.3068766066838046,0.013694532401394989
2001-07-01,0.3017121702915317,0.013394031508490925
2001-08-01,0.29079307201458526,0.01419930097994148
2001-09-01,0.2904416986223548,0.013382763177213331
2001-10-01,0.27069037949866964,0.01480003508156464
2001-11-01,0.275705186533212,0.01546618559422713
2001-12-01,0.2635591102224444,0.014579785047277853
2002-01-01,0.2554815263476681,0.01566211019360721
2002-02-01,0.2850855745721272,0.014374382638694365
2002-03-01,0.2672266861456051,0.013810595453645807
2002-04-01,0.2511140551607853,0.014748114253817397
2002-05-01,0.24776084680702573,0.01320342980580598
2002-06-01,0.23782303203525068,0.014569507317716345
2002-07-01,0.24094375595805528,0.014186945077826576
2002-08-01,0.2603719599427754,0.014181900844021092
2002-09-01,0.2623148259665181,0.013739720815896521
2002-10-01,0.24745392822502424,0.014600029141774733
