code,column,older,newer,date,overlap_n,ratio,ratio_drift,ratio_min,ratio_max,stable
ESP,gdp,ine_base1995,oecd,1995-01-01,40,1.061976836825424,0.011390534464766011,1.0437737473407118,1.0804763505818809,True
ESP,gdp,ine_base1986,oecd,1980-01-01,76,1.103234309209041,0.008646282554029673,1.0817911490948628,1.1341122234757872,True
ESP,cons_hh,ine_base1995,oecd,1995-01-01,40,1.0746878571492495,0.013178573473496397,1.0422168894370634,1.0978798439097681,True
ESP,cons_hh,ine_base1986,oecd,1980-01-01,76,1.0805314429214206,0.009946440180461962,1.062024752898783,1.107940887378986,True
ESP,cons_gov,ine_base1995,oecd,1995-01-01,40,1.0101731972486996,0.009420876972439441,0.9937217384805113,1.0278123057799875,True
ESP,cons_gov,ine_base1986,oecd,1980-01-01,76,1.128233039181419,0.026069847514554857,1.0518428466561112,1.211715594859114,False
ESP,inv,ine_base1995,oecd,1995-01-01,40,1.0896272884477334,0.02964749122710198,1.0344319568969147,1.1484549418907923,False
ESP,inv,ine_base1986,oecd,1980-01-01,76,1.1968887707854903,0.02454590965393673,1.1185299103225357,1.2618209128384186,False
ESP,capform,ine_base1995,oecd,1995-01-01,40,1.095574662785762,0.03313875727902127,1.0069332761516743,1.1647978324301793,False
ESP,capform,ine_base1986,oecd,1980-01-01,76,1.1957843194321305,0.05125071950780816,1.0404573912214468,1.3848898746259404,False
ESP,exports,ine_base1995,oecd,1995-01-01,40,1.0072540829481036,0.016167401381165125,0.9659920246783538,1.0394203866872678,True
ESP,exports,ine_base1986,oecd,1980-01-01,76,0.9953616147880417,0.02555418789156395,0.9307741158279873,1.0419803378643218,False
ESP,imports,ine_base1995,oecd,1995-01-01,40,1.03324419528041,0.0147117615858,1.008305617977528,1.08291695916092,True
ESP,imports,ine_base1986,oecd,1980-01-01,76,1.0331158361912813,0.023890486297569007,0.9719389850206951,1.105180879275649,False
JPN,gdp,jp_sna93,oecd,1995-01-01,38,265.8368355729312,0.005856838694432484,262.53059088366166,268.3872614328194,True
JPN,gdp,jp_sna68,oecd,1980-01-01,85,270.383355140278,0.012581907543342786,264.7362957491685,282.5585028404359,True
JPN,cons_hh,jp_sna93,oecd,1995-01-01,38,249.29987480608807,0.01083897720872969,244.92245086099797,253.8819335309194,True
JPN,cons_hh,jp_sna68,oecd,1980-01-01,85,233.81957791933561,0.008379220714049727,229.6575469551253,238.81426156427736,True
JPN,cons_gov,jp_sna93,oecd,1995-01-01,38,266.7347480471898,0.008592528372909868,262.8187610356781,270.6381735053308,True
JPN,cons_gov,jp_sna68,oecd,1980-01-01,85,396.0942367364089,0.05295403434682295,361.5610269620114,452.76092926864317,False
JPN,inv,jp_sna93,oecd,1995-01-01,38,302.04358835364167,0.01730010299157033,290.2425906005416,315.621324291311,True
JPN,inv,jp_sna68,oecd,1980-01-01,85,309.47503766976644,0.01908160942783268,297.07948556163046,330.0840391720047,True
JPN,capform,jp_sna93,oecd,1995-01-01,38,301.233274860454,0.01670619892280971,290.19250263160245,312.21008738603143,True
JPN,capform,jp_sna68,oecd,1980-01-01,85,308.270599485481,0.020661431995032023,294.7680513975767,327.5994618489333,False
JPN,exports,jp_sna93,oecd,1995-01-01,38,253.67227848567066,0.006051633681957663,249.99183015959062,256.850474903204,True
JPN,exports,jp_sna68,oecd,1980-01-01,85,252.79982469463553,0.0075664597662069046,247.5501435476705,260.26624732261473,True
JPN,imports,jp_sna93,oecd,1995-01-01,38,254.63007955584507,0.0062047943684188185,251.73399468293644,259.00883720667423,True
JPN,imports,jp_sna68,oecd,1980-01-01,85,254.24821168378762,0.013691080650998316,240.34186647403092,262.2300758677884,True
