code,year,status,informal_rate
BEL,2020,TOTAL,2.464
BEL,2020,EES,0.412
BEL,2020,SLF,17.679
BEL,2021,TOTAL,3.0
BEL,2021,EES,1.328
BEL,2021,SLF,15.071
BEL,2022,TOTAL,2.678
BEL,2022,EES,1.269
BEL,2022,SLF,13.12
BEL,2023,TOTAL,3.277
BEL,2023,EES,1.0
BEL,2023,SLF,19.723
BEL,2024,TOTAL,3.313
BEL,2024,EES,1.248
BEL,2024,SLF,17.677
BEL,2025,TOTAL,2.449
BEL,2025,EES,1.03
BEL,2025,SLF,10.526
BEN,2011,TOTAL,96.823
BEN,2011,EES,79.97
BEN,2011,SLF,98.691
BEN,2022,TOTAL,96.347
BEN,2022,EES,86.448
BEN,2022,SLF,98.693
BFA,2024,TOTAL,93.752
BFA,2024,EES,74.855
BFA,2024,SLF,96.506
BFA,2025,TOTAL,94.73
BFA,2025,EES,85.874
BFA,2025,SLF,96.352
BFA,2018,TOTAL,95.575
BFA,2018,EES,88.207
BFA,2018,SLF,98.126
BFA,2023,TOTAL,95.093
BFA,2023,EES,87.151
BFA,2023,SLF,97.696
BFA,2022,TOTAL,95.964
BFA,2022,EES,82.245
BFA,2022,SLF,98.937
BGD,2010,TOTAL,86.404
BGD,2010,EES,81.835
BGD,2010,SLF,89.164
BGD,2013,TOTAL,89.306
BGD,2013,EES,85.281
BGD,2013,SLF,92.009
BGD,2017,TOTAL,94.364
BGD,2017,EES,89.202
BGD,2017,SLF,97.651
BGD,2022,TOTAL,84.87
BGD,2022,EES,92.278
BGD,2022,SLF,80.194
BGD,2023,TOTAL,84.141
BGD,2023,EES,90.272
BGD,2023,SLF,80.294
BGD,2024,TOTAL,84.037
BGD,2024,EES,90.233
BGD,2024,SLF,80.223
BGR,2007,TOTAL,10.876
BGR,2007,EES,7.98
BGR,2007,SLF,29.968
BGR,2008,TOTAL,12.674
BGR,2008,EES,5.953
BGR,2008,SLF,55.268
BGR,2009,TOTAL,9.712
BGR,2009,EES,6.942
BGR,2009,SLF,28.108
BGR,2010,TOTAL,9.325
BGR,2010,EES,6.319
BGR,2010,SLF,30.464
BGR,2011,TOTAL,7.843
BGR,2011,EES,5.948
BGR,2011,SLF,25.157
BGR,2012,TOTAL,6.949
BGR,2012,EES,4.639
BGR,2012,SLF,28.502
BGR,2013,TOTAL,8.347
BGR,2013,EES,4.255
BGR,2013,SLF,47.488
BGR,2014,TOTAL,7.762
BGR,2014,EES,5.561
BGR,2014,SLF,27.808
BGR,2015,TOTAL,6.855
BGR,2015,EES,4.236
BGR,2015,SLF,30.283
BGR,2016,TOTAL,7.795
BGR,2016,EES,3.724
BGR,2016,SLF,43.005
BGR,2017,TOTAL,3.908
BGR,2017,EES,2.615
BGR,2017,SLF,14.749
BGR,2018,TOTAL,4.252
BGR,2018,EES,2.779
BGR,2018,SLF,17.16
BGR,2019,TOTAL,3.475
BGR,2019,EES,2.234
BGR,2019,SLF,15.158
BGR,2020,TOTAL,3.831
BGR,2020,EES,2.323
BGR,2020,SLF,17.723
BGR,2021,TOTAL,6.453
BGR,2021,EES,5.473
BGR,2021,SLF,15.603
BGR,2022,TOTAL,5.844
BGR,2022,EES,4.945
BGR,2022,SLF,14.289
BGR,2023,TOTAL,6.303
BGR,2023,EES,5.512
BGR,2023,SLF,13.716
BGR,2024,TOTAL,4.146
BGR,2024,EES,3.145
BGR,2024,SLF,13.823
BGR,2025,TOTAL,3.579
BGR,2025,EES,2.816
BGR,2025,SLF,10.751
BHS,2019,TOTAL,18.252
BHS,2019,EES,14.665
BHS,2019,SLF,38.222
BIH,2006,TOTAL,37.96
BIH,2006,EES,16.96
