observation_date,PERIC
1947-01-01,28.451473644149001
1947-04-01,29.354366288274498
1947-07-01,29.268598285809500
1947-10-01,28.566944467797601
1948-01-01,27.821885724129501
1948-04-01,28.062498644878801
1948-07-01,28.545670922097099
1948-10-01,28.811883566014199
1949-01-01,28.620300288511999
1949-04-01,28.518002522469601
1949-07-01,28.062363830540800
1949-10-01,27.245840815490801
1950-01-01,26.805047805284801
1950-04-01,26.680753658665800
1950-07-01,26.281668842354001
1950-10-01,26.302230753830202
1951-01-01,26.158158051262401
1951-04-01,26.155674379776901
1951-07-01,26.165162734877800
1951-10-01,26.087879682208801
1952-01-01,26.090029971971301
1952-04-01,26.187742068262001
1952-07-01,25.902398853468199
1952-10-01,25.664331312166102
1953-01-01,25.473517333265299
1953-04-01,25.406335895088901
1953-07-01,25.131002162551201
1953-10-01,24.707266857663399
1954-01-01,24.669851909636900
1954-04-01,24.770430085784700
1954-07-01,24.380810596730800
1954-10-01,24.419425016426501
1955-01-01,24.239742369999600
1955-04-01,24.280957504877200
1955-07-01,24.446118461769800
1955-10-01,24.539751106369899
1956-01-01,24.398784206657300
1956-04-01,24.232774761616000
1956-07-01,24.327395022860301
1956-10-01,24.431488954362699
1957-01-01,24.601050121170800
1957-04-01,24.342544458001701
1957-07-01,24.077986131922501
1957-10-01,23.998766193016600
1958-01-01,23.326293866737199
1958-04-01,23.037557912938102
1958-07-01,22.676293768737001
1958-10-01,22.356738520345601
1959-01-01,22.049771986186801
1959-04-01,21.809910113347499
1959-07-01,21.547633401367001
1959-10-01,21.306738810157398
1960-01-01,21.142983487309699
1960-04-01,21.041097030065501
1960-07-01,20.913365299385401
1960-10-01,20.732784839663800
1961-01-01,20.599498350370599
1961-04-01,20.531795181958401
1961-07-01,20.390293309682800
1961-10-01,20.317228166313800
1962-01-01,20.211485850682500
1962-04-01,20.093825070347101
1962-07-01,19.966650485952801
1962-10-01,19.691384646864599
1963-01-01,19.447514391078400
1963-04-01,19.248588075916398
1963-07-01,19.034255964410701
1963-10-01,18.869264754452200
1964-01-01,18.724122958551700
1964-04-01,18.617195632780600
1964-07-01,18.443651309167500
1964-10-01,18.242104976663100
1965-01-01,18.078799533630701
1965-04-01,17.818226846803000
1965-07-01,17.643084774556598
1965-10-01,17.344284945370902
1966-01-01,17.008647971997402
1966-04-01,16.772491512082599
1966-07-01,16.564769653627199
1966-10-01,16.449510089214201
1967-01-01,16.397098868993702
1967-04-01,16.308381989892499
1967-07-01,16.155518282858601
1967-10-01,16.008513926386101
1968-01-01,15.742787428150301
1968-04-01,15.593413086729800
1968-07-01,15.470467234029901
1968-10-01,15.394318421989800
1969-01-01,15.260528857154201
1969-04-01,15.115320861752000
1969-07-01,15.039196290610599
1969-10-01,14.988504886334701
1970-01-01,14.968233680327200
1970-04-01,14.925817961448599
1970-07-01,14.868574677060600
1970-10-01,14.821957926735999
1971-01-01,14.802445230597201
1971-04-01,14.655028329545001
1971-07-01,14.431958036265700
1971-10-01,14.233870450341300
1972-01-01,14.091689474120800
1972-04-01,14.021606006092400
1972-07-01,13.898914196450200
1972-10-01,13.740779845032000
1973-01-01,13.658983289332699
1973-04-01,13.470085884959699
1973-07-01,13.187313612808399
1973-10-01,12.725617355653000
1974-01-01,12.212124898980999
1974-04-01,12.006419423227900
1974-07-01,12.123817757713100
1974-10-01,12.442932814581200
1975-01-01,12.898312489742800
1975-04-01,13.211399805132899
1975-07-01,13.126098730178800
1975-10-01,13.002466153659100
1976-01-01,12.882084961579899
1976-04-01,12.722886312103000
1976-07-01,12.506722994189801
1976-10-01,12.325809906075801
1977-01-01,12.109404515391899
1977-04-01,11.920073026081401
1977-07-01,11.827426250376201
1977-10-01,11.801055593609300
1978-01-01,11.727528831145699
1978-04-01,11.560657458782501
1978-07-01,11.398012670382800
1978-10-01,11.174740841227900
1979-01-01,10.982506034728599
1979-04-01,10.698505885442501
1979-07-01,10.431803640308701
1979-10-01,10.210851035368099
1980-01-01,10.038978616481300
1980-04-01,9.948992124780700
1980-07-01,9.858423563865680
1980-10-01,9.715542092152400
1981-01-01,9.629364592821450
1981-04-01,9.661647860906770
1981-07-01,9.639109717388900
1981-10-01,9.646438360176679
1982-01-01,9.652562414626630
1982-04-01,9.714671248171550
1982-07-01,9.631149074208549
1982-10-01,9.562532360481111
1983-01-01,9.463857351849869
1983-04-01,9.284379662135320
1983-07-01,9.024014000815381
1983-10-01,8.829779994904699
