observation_date,CPGRLE01MXM659N
1980-01-01,22.6551399999999994
1980-02-01,23.6349300000000007
1980-03-01,24.3468100000000014
1980-04-01,25.3019299999999987
1980-05-01,25.6813000000000002
1980-06-01,26.0319900000000004
1980-07-01,27.4970399999999984
1980-08-01,28.6148799999999994
1980-09-01,28.9638300000000015
1980-10-01,29.5290600000000012
1980-11-01,30.0036799999999992
1980-12-01,30.9532099999999986
1981-01-01,28.2610700000000001
1981-02-01,28.6234299999999990
1981-03-01,28.7740400000000029
1981-04-01,29.6944000000000017
1981-05-01,29.6746100000000013
1981-06-01,29.5385400000000011
1981-07-01,28.9779400000000038
1981-08-01,29.1271999999999984
1981-09-01,29.7844599999999993
1981-10-01,30.2614700000000028
1981-11-01,30.4848099999999995
1981-12-01,30.5958700000000015
1982-01-01,31.3263700000000007
1982-02-01,33.6183900000000051
1982-03-01,36.1782499999999985
1982-04-01,40.1796599999999984
1982-05-01,46.0238299999999967
1982-06-01,51.5812299999999979
1982-07-01,56.2220000000000013
1982-08-01,67.4616900000000044
1982-09-01,73.4815800000000223
1982-10-01,77.7740799999999979
1982-11-01,83.8961299999999994
1982-12-01,95.2634000000000043
1983-01-01,111.2146000000000043
1983-02-01,114.6409000000000020
1983-03-01,116.6193999999999988
1983-04-01,116.7834000000000003
1983-05-01,113.9228999999999985
1983-06-01,111.1623000000000019
1983-07-01,110.5014999999999930
1983-08-01,100.8173000000000030
1983-09-01,96.6787300000000016
1983-10-01,94.1257399999999933
1983-11-01,93.2999700000000018
1983-12-01,84.5317500000000024
1984-01-01,72.3537800000000004
1984-02-01,70.6559900000000027
1984-03-01,69.0621000000000009
1984-04-01,66.0001199999999955
1984-05-01,63.5760599999999982
1984-06-01,63.1025300000000016
1984-07-01,61.0001300000000057
1984-08-01,59.0324600000000004
1984-09-01,59.1931199999999933
1984-10-01,59.4515000000000029
1984-11-01,56.7936100000000010
1984-12-01,56.1088900000000024
1985-01-01,57.4922699999999978
1985-02-01,55.8084899999999990
1985-03-01,55.6993800000000050
1985-04-01,54.8437699999999921
1985-05-01,54.5650100000000009
1985-06-01,53.3558700000000030
1985-07-01,54.1322900000000047
1985-08-01,56.4695999999999998
1985-09-01,58.0181699999999978
1985-10-01,58.7311900000000051
1985-11-01,61.2903000000000020
1985-12-01,64.6077300000000037
1986-01-01,67.1769699999999972
1986-02-01,68.7646300000000110
1986-03-01,69.6565400000000068
1986-04-01,72.3091300000000103
1986-05-01,75.6076400000000035
1986-06-01,81.2498800000000045
1986-07-01,84.3425500000000028
1986-08-01,91.1417000000000002
1986-09-01,93.8124799999999937
1986-10-01,97.1030700000000024
1986-11-01,100.2473999999999990
1986-12-01,103.8070000000000022
1987-01-01,105.5788000000000011
1987-02-01,109.1303000000000054
1987-03-01,113.1556000000000068
1987-04-01,119.7176999999999936
1987-05-01,125.9321000000000055
1987-06-01,128.9863000000000000
1987-07-01,135.2067000000000121
1987-08-01,133.9766999999999939
1987-09-01,136.0655999999999892
1987-10-01,141.9501999999999953
1987-11-01,147.0489000000000033
1987-12-01,163.5184999999999889
1988-01-01,175.3278999999999996
1988-02-01,181.6020000000000039
1988-03-01,179.2282999999999902
1988-04-01,166.9205000000000041
1988-05-01,153.1431000000000040
1988-06-01,139.4472000000000094
1988-07-01,123.3738000000000028
1988-08-01,109.4639999999999986
1988-09-01,97.2446300000000008
1988-10-01,83.1475800000000049
1988-11-01,69.8065600000000046
1988-12-01,50.4134799999999998
1989-01-01,35.7498099999999965
1989-02-01,26.6009799999999998
1989-03-01,21.2787199999999999
1989-04-01,19.1410899999999984
1989-05-01,18.1342399999999984
1989-06-01,17.3951700000000002
1989-07-01,17.1866200000000013
1989-08-01,17.1482899999999994
1989-09-01,18.0681900000000013
1989-10-01,19.0297599999999996
1989-11-01,19.5993700000000004
1989-12-01,21.2509300000000003
1990-01-01,23.7035400000000003
1990-02-01,23.8311400000000013
1990-03-01,24.0680699999999987
1990-04-01,24.6843900000000005
1990-05-01,25.6528400000000012
1990-06-01,27.0443200000000026
1990-07-01,28.1178900000000027
1990-08-01,28.7400400000000040
1990-09-01,29.0546599999999984
1990-10-01,29.2735899999999987
1990-11-01,30.3850900000000017
1990-12-01,30.2764200000000017
1991-01-01,27.6402500000000018
1991-02-01,27.5103100000000005
1991-03-01,27.5870700000000006
1991-04-01,26.7200400000000009
1991-05-01,25.3832200000000014
1991-06-01,23.9378099999999989
1991-07-01,22.8472100000000005
1991-08-01,21.9192399999999985
1991-09-01,21.4242500000000007
1991-10-01,20.9455999999999989
1991-11-01,20.4915400000000005
1991-12-01,19.3888399999999983
1992-01-01,18.5991399999999985
1992-02-01,17.8453499999999998
1992-03-01,17.1207799999999999
1992-04-01,16.9901799999999987
1992-05-01,17.0585899999999988
1992-06-01,16.8760499999999993
1992-07-01,16.6959599999999995
1992-08-01,16.6762100000000011
1992-09-01,16.4941899999999997
1992-10-01,15.8625600000000002
1992-11-01,14.5755999999999997
1992-12-01,13.6796399999999991
1993-01-01,12.9372399999999992
1993-02-01,12.6271500000000003
1993-03-01,12.5162999999999993
1993-04-01,12.1796100000000003
1993-05-01,11.6141100000000002
1993-06-01,11.2636400000000005
1993-07-01,10.8764400000000006
1993-08-01,10.6303099999999997
1993-09-01,10.3534400000000009
1993-10-01,10.1602300000000003
1993-11-01,9.7721820000000008
1993-12-01,9.1613439999999997
1994-01-01,8.4511550000000000
1994-02-01,8.1686960000000006
1994-03-01,7.8177350000000017
1994-04-01,7.6625579999999998
1994-05-01,7.6490460000000002
1994-06-01,7.5458070000000017
1994-07-01,7.4118380000000004
1994-08-01,7.1988859999999999
1994-09-01,7.0343950000000000
1994-10-01,6.8883539999999996
1994-11-01,6.8999180000000004
1994-12-01,7.1182690000000006
1995-01-01,10.0340000000000007
1995-02-01,13.6351399999999998
1995-03-01,19.4776200000000017
1995-04-01,28.0500200000000000
1995-05-01,32.5096099999999950
1995-06-01,35.5927099999999967
1995-07-01,37.5194199999999967
1995-08-01,39.2501000000000033
1995-09-01,41.1714399999999969
1995-10-01,42.8732800000000012
1995-11-01,44.7649899999999974
1995-12-01,47.7030400000000014
1996-01-01,47.8476799999999969
1996-02-01,45.2293999999999983
1996-03-01,40.2640600000000006
1996-04-01,33.1595200000000006
1996-05-01,30.1342600000000012
1996-06-01,28.6098600000000012
1996-07-01,28.2465100000000007
1996-08-01,27.8754300000000015
1996-09-01,27.4186599999999991
1996-10-01,26.7826500000000003
1996-11-01,26.1108900000000013
1996-12-01,26.8053699999999999
1997-01-01,25.2121099999999991
1997-02-01,24.6761799999999987
1997-03-01,23.7965899999999984
1997-04-01,22.5628300000000017
1997-05-01,21.9548799999999993
1997-06-01,21.2595300000000016
1997-07-01,20.5913499999999985
1997-08-01,19.9611200000000011
1997-09-01,19.4051399999999994
1997-10-01,19.0954599999999992
1997-11-01,18.7970800000000011
1997-12-01,16.4168299999999974
1998-01-01,16.3907500000000006
1998-02-01,16.3377300000000005
1998-03-01,16.0391100000000009
1998-04-01,15.7130500000000008
1998-05-01,15.3869900000000008
1998-06-01,15.2404299999999981
1998-07-01,15.1534899999999997
1998-08-01,15.3429000000000002
1998-09-01,15.7556200000000004
1998-10-01,16.0292099999999991
1998-11-01,16.3867300000000000
1998-12-01,17.3322399999999988
1999-01-01,17.1574100000000023
